Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S[dcl]"	| 0.636	| 0.678	| 0.656	| 7472	|
| NT "NP"	| 0.161	| 0.255	| 0.198	| 17892	|
| NT "N"	| 0.144	| 0.171	| 0.156	| 9676	|
| SHIFT	| 0.364	| 0.364	| 0.364	| 55371	|
| REDUCE	| 0.381	| 0.430	| 0.404	| 60717	|
| NT "N/N"	| 0.214	| 0.005	| 0.010	| 561	|
| NT "S[dcl][conj]"	| 0.017	| 0.016	| 0.016	| 254	|
| NT "N/N[conj]"	| 1.000	| 0.000	| 0.000	| 51	|
| NT "S[dcl]\\NP"	| 0.167	| 0.199	| 0.181	| 5273	|
| NT "S[pt]\\NP"	| 0.149	| 0.063	| 0.088	| 524	|
| NT "NP\\NP"	| 0.055	| 0.063	| 0.059	| 3916	|
| NT "N\\N"	| 0.000	| 0.000	| 0.000	| 107	|
| NT "S[to]\\NP"	| 0.121	| 0.142	| 0.131	| 776	|
| NT "S[b]\\NP"	| 0.129	| 0.125	| 0.127	| 1997	|
| NT "S[dcl]\\NP[conj]	| 0.014	| 0.014	| 0.014	| 143	|
| NT "(S[dcl]\\NP)/(S[	| 0.320	| 0.108	| 0.162	| 222	|
| ERROR	| 0.000	| 0.000	| 0.000	| 22172	|
| NT "S[dcl]\\S[dcl]"	| 0.030	| 0.080	| 0.044	| 591	|
| NT "NP[conj]"	| 0.042	| 0.031	| 0.036	| 1051	|
| NT "(S\\NP)\\(S\\NP)	| 0.037	| 0.026	| 0.031	| 2386	|
| NT "S[pss]\\NP"	| 0.089	| 0.043	| 0.058	| 788	|
| NT "N[num]"	| 0.061	| 0.051	| 0.056	| 256	|
| NT "PP"	| 0.025	| 0.024	| 0.024	| 921	|
| NT "(NP\\NP)/(NP\\NP	| 1.000	| 0.000	| 0.000	| 14	|
| NT "((NP\\NP)/(NP\\N	| 1.000	| 0.000	| 0.000	| 8	|
| NT "S[ng]\\NP"	| 0.050	| 0.010	| 0.017	| 875	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S[adj]\\NP"	| 0.000	| 0.000	| 0.000	| 487	|
| NT "NP[nb]/N"	| 1.000	| 0.000	| 0.000	| 566	|
| NT "S[em]"	| 0.190	| 0.184	| 0.187	| 283	|
| NT "(S[dcl]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "S/S"	| 0.584	| 0.409	| 0.481	| 621	|
| NT "(S[adj]\\NP)\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S\\S"	| 1.000	| 0.000	| 0.000	| 67	|
| NT "N[conj]"	| 0.019	| 0.014	| 0.016	| 215	|
