Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.464	| 0.464	| 0.464	| 5234	|
| NT "NP-SBJ"	| 0.240	| 0.317	| 0.273	| 4557	|
| NT "NP-SBJ-1"	| 0.000	| 0.000	| 0.000	| 687	|
| NT "DT"	| 0.184	| 0.178	| 0.181	| 4816	|
| NT "NP"	| 0.134	| 0.173	| 0.151	| 13918	|
| SHIFT	| 0.278	| 0.278	| 0.278	| 60548	|
| REDUCE	| 0.453	| 0.449	| 0.451	| 107881	|
| NT "NN"	| 0.083	| 0.137	| 0.103	| 7568	|
| NT "JJ"	| 0.069	| 0.039	| 0.050	| 3707	|
| NT "NNS"	| 0.037	| 0.026	| 0.030	| 3507	|
| NT "VP"	| 0.177	| 0.189	| 0.183	| 8754	|
| NT "VBD"	| 0.139	| 0.174	| 0.154	| 1836	|
| NT "PP"	| 0.113	| 0.127	| 0.120	| 3069	|
| NT "IN"	| 0.169	| 0.144	| 0.155	| 5854	|
| NT "VBZ"	| 0.103	| 0.161	| 0.126	| 1233	|
| NT "VBN"	| 0.100	| 0.106	| 0.103	| 1099	|
| NT "ADJP-PRD"	| 0.000	| 0.000	| 0.000	| 439	|
| NT "RB"	| 0.188	| 0.041	| 0.067	| 2053	|
| NT "-NONE-"	| 0.173	| 0.149	| 0.160	| 3864	|
| NT "TO"	| 0.158	| 0.152	| 0.155	| 1240	|
| NT "VB"	| 0.154	| 0.130	| 0.141	| 1580	|
| NT "ADVP"	| 0.230	| 0.034	| 0.059	| 587	|
| NT "SBAR"	| 0.207	| 0.178	| 0.191	| 1509	|
| NT "WHNP-1"	| 0.048	| 0.081	| 0.060	| 308	|
| NT "WDT"	| 0.075	| 0.068	| 0.071	| 280	|
| NT "RBR"	| 1.000	| 0.000	| 0.000	| 112	|
| NT "NNP"	| 0.087	| 0.124	| 0.102	| 5918	|
| NT "."	| 0.170	| 0.170	| 0.170	| 2363	|
| ERROR	| 0.000	| 0.000	| 0.000	| 4658	|
| NT "POS"	| 0.127	| 0.122	| 0.125	| 549	|
| NT "NP-TMP"	| 0.020	| 0.004	| 0.006	| 272	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-TMP"	| 0.078	| 0.036	| 0.050	| 551	|
| NT "PP-LOC"	| 0.085	| 0.084	| 0.085	| 817	|
| NT ","	| 0.161	| 0.161	| 0.161	| 3062	|
| NT "CC"	| 0.196	| 0.189	| 0.192	| 1373	|
| NT "CD"	| 0.139	| 0.057	| 0.081	| 1924	|
| NT "ADVP-TMP"	| 0.000	| 0.000	| 0.000	| 432	|
| NT "NP-PRD"	| 0.000	| 0.000	| 0.000	| 401	|
| NT "VBG"	| 0.026	| 0.021	| 0.023	| 817	|
| NT "VBP"	| 0.117	| 0.113	| 0.115	| 802	|
| NT "ADJP"	| 0.125	| 0.002	| 0.004	| 449	|
| NT "JJR"	| 0.333	| 0.005	| 0.010	| 198	|
| NT "``"	| 0.496	| 0.484	| 0.490	| 531	|
| NT "''"	| 0.127	| 0.123	| 0.125	| 512	|
| NT "WHNP-2"	| 1.000	| 0.000	| 0.000	| 130	|
| NT "MD"	| 0.190	| 0.161	| 0.174	| 584	|
| NT "WHNP-3"	| 1.000	| 0.000	| 0.000	| 43	|
| NT "PRP"	| 0.192	| 0.241	| 0.213	| 1055	|
| NT "PRP$"	| 0.138	| 0.116	| 0.126	| 509	|
| NT "PP-CLR"	| 0.060	| 0.070	| 0.064	| 499	|
| NT "PP-LOC-CLR"	| 1.000	| 0.000	| 0.000	| 62	|
| NT "QP"	| 0.086	| 0.043	| 0.057	| 490	|
| NT ":"	| 0.075	| 0.062	| 0.068	| 324	|
| NT "ADVP-MNR"	| 1.000	| 0.000	| 0.000	| 155	|
| NT "$"	| 0.153	| 0.117	| 0.133	| 375	|
| NT "PP-DIR"	| 0.000	| 0.000	| 0.000	| 217	|
| NT "JJS"	| 1.000	| 0.000	| 0.000	| 127	|
| NT "WHNP-4"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "NP-SBJ-2"	| 1.000	| 0.000	| 0.000	| 243	|
| NT "WP"	| 0.118	| 0.090	| 0.102	| 111	|
| NT "S-ADV"	| 1.000	| 0.000	| 0.000	| 147	|
| NT "S-TPC-1"	| 1.000	| 0.000	| 0.000	| 148	|
| NT "NP-LGS"	| 1.000	| 0.000	| 0.000	| 163	|
| NT "PRT"	| 0.500	| 0.006	| 0.012	| 159	|
| NT "RP"	| 0.500	| 0.005	| 0.011	| 182	|
| NT "ADVP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "PP-LOC-3"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "ADVP-TMP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-TMP=4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NX"	| 1.000	| 0.000	| 0.000	| 115	|
| NT "SINV"	| 1.000	| 0.000	| 0.000	| 157	|
| NT "PP-PRD-TPC-1"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-PRD"	| 1.000	| 0.000	| 0.000	| 32	|
| NT "SBAR-NOM"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "ADVP-LOC"	| 1.000	| 0.000	| 0.000	| 44	|
| NT "WHADJP-1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "WRB"	| 1.000	| 0.000	| 0.000	| 133	|
| NT "NP-BNF"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADJP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PRN"	| 1.000	| 0.000	| 0.000	| 142	|
| NT "S-NOM"	| 0.189	| 0.047	| 0.076	| 148	|
| NT "S-NOM-SBJ"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBAR-PRP"	| 1.000	| 0.000	| 0.000	| 57	|
| NT "SBAR-ADV"	| 1.000	| 0.000	| 0.000	| 155	|
| NT "FRAG-TPC-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "FRAG"	| 1.000	| 0.000	| 0.000	| 49	|
| NT "PP-DTV"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "SBAR-TMP"	| 1.000	| 0.000	| 0.000	| 131	|
| NT "WHADVP-2"	| 1.000	| 0.000	| 0.000	| 56	|
| NT "S-TPC-2"	| 1.000	| 0.000	| 0.000	| 65	|
| NT "NP-1"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "NP-MNR"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP-PRD-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-4"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "NP-PRD=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP=4"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S-1"	| 1.000	| 0.000	| 0.000	| 40	|
| NT "SBAR-PRD"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-3"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "PDT"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "WHNP-1601"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 61	|
| NT "WHNP-1602"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S-3"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBARQ"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "WHNP"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "NP-3"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "NP-SBJ-4"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-5"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "NP-EXT"	| 1.000	| 0.000	| 0.000	| 78	|
| NT "ADVP-PRD"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "NP-2"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "NP-SBJ=1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP=2"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "WHADVP-1"	| 1.000	| 0.000	| 0.000	| 69	|
| NT "S-CLR"	| 1.000	| 0.000	| 0.000	| 41	|
| NT "WHPP-2"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "PP-PRP"	| 1.000	| 0.000	| 0.000	| 85	|
| NT "NP-ADV"	| 0.070	| 0.036	| 0.047	| 112	|
| NT "NAC-LOC"	| 1.000	| 0.000	| 0.000	| 16	|
| NT "ADVP-DIR"	| 1.000	| 0.000	| 0.000	| 77	|
| NT "PP-EXT"	| 1.000	| 0.000	| 0.000	| 25	|
| NT "PP-MNR"	| 1.000	| 0.000	| 0.000	| 37	|
| NT "NP-TPC-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "-LRB-"	| 1.000	| 0.000	| 0.000	| 72	|
| NT "-RRB-"	| 1.000	| 0.000	| 0.000	| 72	|
| NT "WP$"	| 1.000	| 0.000	| 0.000	| 21	|
| NT "WHADVP-3"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "INTJ"	| 1.000	| 0.000	| 0.000	| 11	|
| NT "UH"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "NAC"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "NP-CLR"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "SBAR-3"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "EX"	| 1.000	| 0.000	| 0.000	| 57	|
| NT "S-2"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "UCP"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "S-PRP"	| 1.000	| 0.000	| 0.000	| 60	|
| NT "WHADJP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADVP"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "PP-1"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "S-CLF"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "FRAG-TPC-2"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "SQ"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "ADVP-CLR"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "PP-2"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "RBS"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "S-TPC-3"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBAR-NOM-SBJ"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S-NOM-PRD"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "SBAR-2"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "SBARQ-PRD"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "ADJP-2"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC-1"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "VP-1"	| 1.000	| 0.000	| 0.000	| 3	|
