Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S[dcl]"	| 0.927	| 0.869	| 0.897	| 7472	|
| NT "NP"	| 0.751	| 0.748	| 0.749	| 17892	|
| NT "N"	| 0.705	| 0.780	| 0.741	| 9676	|
| SHIFT	| 0.838	| 0.936	| 0.885	| 55371	|
| REDUCE	| 0.993	| 0.997	| 0.995	| 60717	|
| NT "N/N"	| 0.722	| 0.023	| 0.045	| 561	|
| NT "N/N[conj]"	| 0.955	| 0.412	| 0.575	| 51	|
| NT "NP\\NP"	| 0.957	| 0.935	| 0.946	| 3916	|
| NT "S[dcl]\\NP"	| 0.890	| 0.756	| 0.817	| 5273	|
| NT "S[to]\\NP"	| 0.765	| 0.804	| 0.784	| 776	|
| NT "(S\\NP)\\(S\\NP)	| 0.677	| 0.748	| 0.711	| 2386	|
| NT "S[dcl]\\NP[conj]	| 0.622	| 0.818	| 0.707	| 143	|
| NT "(S[dcl]\\NP)/(S[	| 0.921	| 0.473	| 0.625	| 222	|
| NT "S[b]\\NP"	| 0.767	| 0.648	| 0.702	| 1997	|
| NT "NP[conj]"	| 0.903	| 0.848	| 0.874	| 1051	|
| NT "S[pss]\\NP"	| 0.584	| 0.256	| 0.356	| 788	|
| NT "N[num]"	| 0.916	| 0.727	| 0.810	| 256	|
| NT "N\\N"	| 0.922	| 0.664	| 0.772	| 107	|
| NT "(NP\\NP)/(NP\\NP	| 1.000	| 0.000	| 0.000	| 14	|
| NT "((NP\\NP)/(NP\\N	| 1.000	| 0.000	| 0.000	| 8	|
| NT "PP"	| 0.592	| 0.473	| 0.526	| 921	|
| NT "S[ng]\\NP"	| 0.537	| 0.058	| 0.105	| 875	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S[adj]\\NP"	| 0.618	| 0.043	| 0.081	| 487	|
| NT "S[dcl][conj]"	| 0.941	| 0.756	| 0.838	| 254	|
| NT "NP[nb]/N"	| 1.000	| 0.000	| 0.000	| 566	|
| NT "S[em]"	| 0.872	| 0.919	| 0.895	| 283	|
| NT "(S[dcl]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "S/S"	| 0.820	| 0.478	| 0.604	| 621	|
| NT "S[dcl]\\S[dcl]"	| 0.789	| 0.966	| 0.868	| 591	|
| NT "(S[adj]\\NP)\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S\\S"	| 1.000	| 0.000	| 0.000	| 67	|
| NT "(S\\NP)\\(S\\NP)	| 1.000	| 0.000	| 0.000	| 46	|
| NT "(S[ng]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 50	|
| NT "S[pt]\\NP"	| 0.664	| 0.286	| 0.400	| 524	|
| NT "(N/N)/(N/N)"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "N[conj]"	| 0.729	| 0.651	| 0.688	| 215	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 54	|
| NT "S[dcl]\\NP[expl]	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 11	|
| NT "((S[dcl]\\NP[exp	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[b]\\NP)/S[em]	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[b]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 73	|
| NT "S[dcl]/NP"	| 1.000	| 0.010	| 0.021	| 96	|
| NT "S/(S\\NP)"	| 0.986	| 0.979	| 0.983	| 144	|
| NT "(S[dcl]\\NP)/NP"	| 1.000	| 0.030	| 0.058	| 167	|
| NT "(S[adj]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "(S[pt]\\NP)/(S[t	| 1.000	| 0.000	| 0.000	| 7	|
| NT "(S[b]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 83	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 21	|
| NT "(S/S)/(S[ng]\\NP	| 1.000	| 0.000	| 0.000	| 4	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
