Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "NP"	| 0.315	| 0.354	| 0.333	| 17892	|
| NT "N"	| 0.234	| 0.284	| 0.257	| 9676	|
| SHIFT	| 0.442	| 0.442	| 0.442	| 55371	|
| REDUCE	| 0.583	| 0.604	| 0.593	| 60717	|
| NT "NP[conj]"	| 0.093	| 0.119	| 0.104	| 1051	|
| ERROR	| 0.000	| 0.000	| 0.000	| 5646	|
| NT "S[dcl]"	| 0.753	| 0.743	| 0.748	| 7472	|
| NT "N/N"	| 0.182	| 0.064	| 0.095	| 561	|
| NT "S[dcl]\\NP"	| 0.294	| 0.331	| 0.312	| 5273	|
| NT "N/N[conj]"	| 1.000	| 0.000	| 0.000	| 51	|
| NT "NP\\NP"	| 0.138	| 0.167	| 0.151	| 3916	|
| NT "S[pss]\\NP"	| 0.179	| 0.129	| 0.150	| 788	|
| NT "S[to]\\NP"	| 0.202	| 0.232	| 0.216	| 776	|
| NT "S[b]\\NP"	| 0.290	| 0.253	| 0.270	| 1997	|
| NT "S[dcl]\\NP[conj]	| 0.034	| 0.035	| 0.035	| 143	|
| NT "(S[dcl]\\NP)/(S[	| 0.483	| 0.329	| 0.391	| 222	|
| NT "(S\\NP)/(S\\NP)"	| 0.043	| 0.069	| 0.053	| 144	|
| NT "S[ng]\\NP"	| 0.138	| 0.129	| 0.133	| 875	|
| NT "(S\\NP)\\(S\\NP)	| 0.094	| 0.065	| 0.076	| 2386	|
| NT "N[num]"	| 0.230	| 0.215	| 0.222	| 256	|
| NT "S[dcl]\\S[dcl]"	| 0.074	| 0.096	| 0.084	| 591	|
| NT "N\\N"	| 0.054	| 0.028	| 0.037	| 107	|
| NT "(NP\\NP)/(NP\\NP	| 1.000	| 0.000	| 0.000	| 14	|
| NT "((NP\\NP)/(NP\\N	| 1.000	| 0.000	| 0.000	| 8	|
| NT "PP"	| 0.111	| 0.085	| 0.096	| 921	|
| NT "S[dcl][conj]"	| 0.119	| 0.039	| 0.059	| 254	|
| NT "S[b]\\NP[conj]"	| 0.033	| 0.019	| 0.024	| 53	|
| NT "(S[dcl]\\NP)/(S[	| 0.130	| 0.140	| 0.135	| 43	|
| NT "(S[dcl]\\NP)/(S[	| 0.000	| 0.000	| 0.000	| 43	|
| NT "S[adj]\\NP"	| 0.106	| 0.080	| 0.091	| 487	|
| NT "S/S"	| 0.660	| 0.610	| 0.634	| 621	|
| NT "NP[nb]/N"	| 0.259	| 0.216	| 0.235	| 566	|
| NT "N[conj]"	| 0.095	| 0.084	| 0.089	| 215	|
| NT "S\\S"	| 0.000	| 0.000	| 0.000	| 67	|
| NT "S[em]"	| 0.399	| 0.286	| 0.333	| 283	|
| NT "(S[dcl]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "S[pt]\\NP"	| 0.236	| 0.288	| 0.259	| 524	|
| NT "(S[adj]\\NP)\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S\\NP)\\(S\\NP)	| 0.000	| 0.000	| 0.000	| 46	|
| NT "(S[ng]\\NP)/NP"	| 0.000	| 0.000	| 0.000	| 50	|
| NT "(N/N)/(N/N)"	| 0.062	| 0.043	| 0.051	| 23	|
| NT "(S[dcl]\\NP)/(S[	| 0.350	| 0.130	| 0.189	| 54	|
| NT "(S[adj]\\NP)\\(S	| 0.075	| 0.051	| 0.061	| 59	|
| NT "S[dcl]\\NP[expl]	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 11	|
| NT "((S[dcl]\\NP[exp	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[b]\\NP)/S[em]	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[adj]\\NP[conj]	| 0.040	| 0.032	| 0.036	| 31	|
| NT "(S[b]\\NP)/NP"	| 0.057	| 0.027	| 0.037	| 73	|
| NT "S[dcl]/NP"	| 0.031	| 0.042	| 0.035	| 96	|
| NT "S/(S\\NP)"	| 0.092	| 0.090	| 0.091	| 144	|
| NT "(S[dcl]\\NP)/NP"	| 0.043	| 0.036	| 0.039	| 167	|
| NT "(S[adj]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "(S[pt]\\NP)/(S[t	| 1.000	| 0.000	| 0.000	| 7	|
| NT "(S[b]\\NP)/PP"	| 0.000	| 0.000	| 0.000	| 83	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 21	|
| NT "(S/S)/(S[ng]\\NP	| 1.000	| 0.000	| 0.000	| 4	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(N/N)\\(N/N)"	| 0.000	| 0.000	| 0.000	| 16	|
| NT "(S[pt]\\NP)/NP"	| 0.000	| 0.000	| 0.000	| 11	|
| NT "(S[to]\\NP)/NP"	| 0.167	| 0.040	| 0.065	| 25	|
| NT "(S[pss]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "(NP\\NP)/S[dcl]"	| 0.000	| 0.000	| 0.000	| 15	|
| NT "S[qem]"	| 0.214	| 0.111	| 0.146	| 54	|
| NT "S[em][conj]"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "(S[dcl]\\NP)/S[d	| 0.667	| 0.065	| 0.118	| 31	|
| NT "(S[adj]\\NP)/S[e	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S[b]\\NP)/(S[to	| 1.000	| 0.000	| 0.000	| 32	|
| NT "PP/NP"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S\\NP)\\(S\\NP	| 0.000	| 0.000	| 0.000	| 40	|
| NT "S[dcl]\\NP[thr]"	| 0.492	| 0.390	| 0.435	| 77	|
| NT "(S[dcl]\\NP[thr]	| 0.500	| 0.091	| 0.154	| 11	|
| NT "(S[b]\\NP)/(S[ps	| 1.000	| 0.000	| 0.000	| 3	|
| NT "conj"	| 0.000	| 0.000	| 0.000	| 33	|
| NT "(S[dcl]\\NP[thr]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP)/S[e	| 1.000	| 0.000	| 0.000	| 41	|
| NT "S[dcl]/S[dcl]"	| 0.900	| 0.167	| 0.281	| 54	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[inv]"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[dcl]\\NP)/(S[	| 0.250	| 0.105	| 0.148	| 38	|
| NT "S[dcl]\\(S[adj]\	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[b]\\NP)/(S[ad	| 1.000	| 0.000	| 0.000	| 8	|
| NT "PP\\PP"	| 1.000	| 0.000	| 0.000	| 11	|
| NT "(NP\\NP)/(S[dcl]	| 0.000	| 0.000	| 0.000	| 28	|
| NT "(S[pt]\\NP)/(S[a	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[adj]\\NP)/((S	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\S[dcl])	| 0.000	| 0.000	| 0.000	| 28	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(NP\\NP)\\(NP\\N	| 1.000	| 0.000	| 0.000	| 14	|
| NT "(S\\NP)\\(((S\\N	| 1.000	| 0.000	| 0.000	| 6	|
| NT "((S\\NP)/(S[adj]	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 19	|
| NT "((S[adj]\\NP)\\(	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\NP)\\(((S\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 53	|
| NT "NP\\NP[conj]"	| 0.000	| 0.000	| 0.000	| 26	|
| NT "S[qem]/(S[dcl]/(	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[dcl]/(S[adj]\\	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[dcl]\\S[qem]"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S[dcl]\\S[qem])	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dcl]\\S[qem]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[ng]\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 21	|
| NT "S[dcl]\\(S[ng]\\	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S/S)\\(S/S)"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "S[qem]/S[dcl]"	| 0.000	| 0.000	| 0.000	| 8	|
| NT "S[qem]/S[dcl][co	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP[conj]"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[for]"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S[for]/(S[to]\\N	| 1.000	| 0.000	| 0.000	| 10	|
| NT "((S[dcl]\\NP)/PP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP/(S[dcl]/NP)"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "N/PP"	| 0.000	| 0.000	| 0.000	| 4	|
| NT "(S[ng]\\NP)/(S[a	| 1.000	| 0.000	| 0.000	| 7	|
| NT "S[poss]"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "S[em]/S[dcl]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP/NP"	| 0.000	| 0.000	| 0.000	| 28	|
| NT "(S[ng]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "S[wq]"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "(S/S)/S[inv]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[inv]/NP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pt]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 14	|
| NT "S[q]"	| 0.000	| 0.000	| 0.000	| 31	|
| NT "S[q]/(S[b]\\NP)"	| 0.000	| 0.000	| 0.000	| 9	|
| NT "S"	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(NP\\NP)/(S[ng]\	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[b]"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(S\\NP)/(S\\NP)[	| 1.000	| 0.000	| 0.000	| 1	|
