Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "NP"	| 0.870	| 0.866	| 0.868	| 17892	|
| NT "N"	| 0.830	| 0.910	| 0.868	| 9676	|
| SHIFT	| 0.911	| 0.952	| 0.931	| 55371	|
| REDUCE	| 0.999	| 0.999	| 0.999	| 60717	|
| NT "S[dcl]"	| 0.939	| 0.931	| 0.935	| 7472	|
| NT "N/N"	| 0.809	| 0.406	| 0.541	| 561	|
| NT "N/N[conj]"	| 0.935	| 0.843	| 0.887	| 51	|
| NT "NP\\NP"	| 0.972	| 0.970	| 0.971	| 3916	|
| NT "S[dcl]\\NP"	| 0.921	| 0.865	| 0.892	| 5273	|
| NT "S[to]\\NP"	| 0.861	| 0.912	| 0.886	| 776	|
| NT "S[dcl]\\NP[conj]	| 0.825	| 0.958	| 0.887	| 143	|
| NT "(S[dcl]\\NP)/(S[	| 0.947	| 0.802	| 0.868	| 222	|
| NT "S[b]\\NP"	| 0.877	| 0.784	| 0.828	| 1997	|
| NT "NP[conj]"	| 0.962	| 0.939	| 0.950	| 1051	|
| NT "S[ng]\\NP"	| 0.588	| 0.474	| 0.525	| 875	|
| NT "S[pss]\\NP"	| 0.724	| 0.537	| 0.617	| 788	|
| NT "(S\\NP)\\(S\\NP)	| 0.873	| 0.804	| 0.837	| 2386	|
| NT "N[num]"	| 0.992	| 0.965	| 0.978	| 256	|
| NT "N\\N"	| 0.901	| 0.935	| 0.917	| 107	|
| NT "(NP\\NP)/(NP\\NP	| 1.000	| 0.000	| 0.000	| 14	|
| NT "(S[adj]\\NP)\\(S	| 0.862	| 0.847	| 0.855	| 59	|
| NT "((NP\\NP)/(NP\\N	| 1.000	| 0.000	| 0.000	| 8	|
| NT "S[adj]\\NP"	| 0.569	| 0.421	| 0.484	| 487	|
| NT "PP"	| 0.752	| 0.785	| 0.768	| 921	|
| NT "(S[dcl]\\NP)/(S[	| 0.333	| 0.372	| 0.352	| 43	|
| NT "(S[dcl]\\NP)/(S[	| 0.400	| 0.047	| 0.083	| 43	|
| NT "S[pt]\\NP"	| 0.770	| 0.752	| 0.761	| 524	|
| NT "S[dcl][conj]"	| 0.954	| 0.972	| 0.963	| 254	|
| NT "(N/N)/(N/N)"	| 0.607	| 0.739	| 0.667	| 23	|
| NT "NP[nb]/N"	| 0.775	| 0.744	| 0.759	| 566	|
| NT "S[em]"	| 0.950	| 0.947	| 0.949	| 283	|
| NT "(S[dcl]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "S[dcl]\\S[dcl]"	| 0.965	| 0.970	| 0.967	| 591	|
| NT "(S[adj]\\NP)\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S/S"	| 0.863	| 0.729	| 0.791	| 621	|
| NT "S\\S"	| 0.600	| 0.403	| 0.482	| 67	|
| NT "(S\\NP)\\(S\\NP)	| 0.581	| 0.543	| 0.562	| 46	|
| NT "(S[ng]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 50	|
| NT "N[conj]"	| 0.846	| 0.665	| 0.745	| 215	|
| NT "(S[dcl]\\NP)/(S[	| 0.821	| 0.426	| 0.561	| 54	|
| NT "S[dcl]\\NP[expl]	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(S[dcl]\\NP[expl	| 0.375	| 0.818	| 0.514	| 11	|
| NT "((S[dcl]\\NP[exp	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[b]\\NP)/S[em]	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[b]\\NP)/NP"	| 0.500	| 0.192	| 0.277	| 73	|
