Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.517	| 0.480	| 0.498	| 5234	|
| NT "NP-SBJ"	| 0.259	| 0.343	| 0.295	| 4557	|
| NT "NP-SBJ-1"	| 0.091	| 0.001	| 0.003	| 687	|
| SHIFT	| 0.482	| 0.482	| 0.482	| 60548	|
| NT "NP"	| 0.208	| 0.201	| 0.204	| 13918	|
| REDUCE	| 0.424	| 0.381	| 0.402	| 47333	|
| NT "PP"	| 0.146	| 0.127	| 0.136	| 3069	|
| NT "VP"	| 0.246	| 0.272	| 0.259	| 8754	|
| NT "ADJP-PRD"	| 0.126	| 0.025	| 0.042	| 439	|
| NT "ADVP"	| 0.345	| 0.135	| 0.194	| 587	|
| ERROR	| 0.000	| 0.000	| 0.000	| 1162	|
| NT "NP-TMP"	| 0.018	| 0.011	| 0.014	| 272	|
| NT "PP-CLR"	| 0.047	| 0.100	| 0.064	| 499	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-LOC"	| 0.148	| 0.098	| 0.118	| 817	|
| NT "ADVP-TMP"	| 0.029	| 0.012	| 0.017	| 432	|
| NT "NP-PRD"	| 0.215	| 0.112	| 0.148	| 401	|
| NT "ADJP"	| 0.000	| 0.000	| 0.000	| 449	|
| NT "SBAR"	| 0.251	| 0.224	| 0.237	| 1509	|
| NT "WHNP-1"	| 0.078	| 0.114	| 0.092	| 308	|
| NT "WHNP-2"	| 1.000	| 0.000	| 0.000	| 130	|
| NT "WHNP-3"	| 1.000	| 0.000	| 0.000	| 43	|
| NT "PP-DIR"	| 0.020	| 0.014	| 0.016	| 217	|
| NT "PP-LOC-CLR"	| 1.000	| 0.000	| 0.000	| 62	|
| NT "PP-TMP"	| 0.050	| 0.069	| 0.058	| 551	|
| NT "ADVP-MNR"	| 1.000	| 0.000	| 0.000	| 155	|
| NT "QP"	| 0.148	| 0.078	| 0.102	| 490	|
| NT "WHNP-4"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "NP-SBJ-2"	| 1.000	| 0.000	| 0.000	| 243	|
| NT "S-ADV"	| 0.255	| 0.082	| 0.124	| 147	|
| NT "S-TPC-1"	| 0.000	| 0.000	| 0.000	| 148	|
| NT "NP-LGS"	| 0.256	| 0.067	| 0.107	| 163	|
| NT "PRT"	| 0.103	| 0.044	| 0.062	| 159	|
| NT "ADVP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "PP-LOC-3"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "ADVP-TMP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-TMP=4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NX"	| 1.000	| 0.000	| 0.000	| 115	|
| NT "SINV"	| 1.000	| 0.000	| 0.000	| 157	|
| NT "PP-PRD-TPC-1"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-PRD"	| 1.000	| 0.000	| 0.000	| 32	|
| NT "SBAR-NOM"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "ADVP-LOC"	| 1.000	| 0.000	| 0.000	| 44	|
| NT "WHADJP-1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP-BNF"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADJP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PRN"	| 0.000	| 0.000	| 0.000	| 142	|
| NT "S-NOM"	| 0.111	| 0.061	| 0.079	| 148	|
| NT "S-NOM-SBJ"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBAR-PRP"	| 1.000	| 0.000	| 0.000	| 57	|
| NT "SBAR-ADV"	| 1.000	| 0.000	| 0.000	| 155	|
| NT "FRAG-TPC-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "FRAG"	| 1.000	| 0.000	| 0.000	| 49	|
| NT "PP-DTV"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "SBAR-TMP"	| 1.000	| 0.000	| 0.000	| 131	|
| NT "WHADVP-2"	| 1.000	| 0.000	| 0.000	| 56	|
| NT "S-TPC-2"	| 1.000	| 0.000	| 0.000	| 65	|
| NT "NP-1"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "NP-MNR"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP-PRD-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-4"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "NP-PRD=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP=4"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S-1"	| 1.000	| 0.000	| 0.000	| 40	|
| NT "SBAR-PRD"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-3"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "WHNP-1601"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 61	|
| NT "WHNP-1602"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S-3"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBARQ"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "WHNP"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "NP-3"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "NP-SBJ-4"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-5"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "NP-EXT"	| 1.000	| 0.000	| 0.000	| 78	|
| NT "ADVP-PRD"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "NP-2"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "NP-SBJ=1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP=2"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "WHADVP-1"	| 0.000	| 0.000	| 0.000	| 69	|
| NT "S-CLR"	| 1.000	| 0.000	| 0.000	| 41	|
| NT "WHPP-2"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "PP-PRP"	| 1.000	| 0.000	| 0.000	| 85	|
| NT "NP-ADV"	| 0.229	| 0.071	| 0.109	| 112	|
| NT "NAC-LOC"	| 1.000	| 0.000	| 0.000	| 16	|
| NT "ADVP-DIR"	| 1.000	| 0.000	| 0.000	| 77	|
| NT "PP-EXT"	| 1.000	| 0.000	| 0.000	| 25	|
| NT "PP-MNR"	| 1.000	| 0.000	| 0.000	| 37	|
| NT "NP-TPC-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADVP-3"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "INTJ"	| 1.000	| 0.000	| 0.000	| 11	|
| NT "NAC"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "NP-CLR"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "SBAR-3"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "S-2"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "UCP"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "S-PRP"	| 0.000	| 0.000	| 0.000	| 60	|
