Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.539	| 0.538	| 0.538	| 5234	|
| NT "NP-SBJ-1"	| 0.438	| 0.415	| 0.426	| 687	|
| NT "NP"	| 0.305	| 0.303	| 0.304	| 13918	|
| SHIFT	| 0.536	| 0.536	| 0.536	| 60548	|
| REDUCE	| 0.525	| 0.495	| 0.510	| 47333	|
| NT "PP"	| 0.246	| 0.232	| 0.239	| 3069	|
| NT "VP"	| 0.359	| 0.363	| 0.361	| 8754	|
| NT "ADJP-PRD"	| 0.196	| 0.128	| 0.155	| 439	|
| NT "NP-SBJ"	| 0.389	| 0.417	| 0.402	| 4557	|
| NT "NP-PRD"	| 0.232	| 0.214	| 0.223	| 401	|
| NT "ADVP"	| 0.248	| 0.227	| 0.237	| 587	|
| ERROR	| 0.000	| 0.000	| 0.000	| 1372	|
| NT "NP-TMP"	| 0.208	| 0.140	| 0.167	| 272	|
| NT "PP-DIR"	| 0.179	| 0.124	| 0.147	| 217	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-LOC"	| 0.175	| 0.196	| 0.185	| 817	|
| NT "SBAR-ADV"	| 0.343	| 0.381	| 0.361	| 155	|
| NT "ADVP-TMP"	| 0.191	| 0.132	| 0.156	| 432	|
| NT "ADJP"	| 0.164	| 0.053	| 0.081	| 449	|
| NT "SBAR"	| 0.340	| 0.304	| 0.321	| 1509	|
| NT "WHNP-1"	| 0.226	| 0.231	| 0.228	| 308	|
| NT "WHNP-2"	| 0.165	| 0.200	| 0.181	| 130	|
| NT "WHNP-3"	| 1.000	| 0.000	| 0.000	| 43	|
| NT "PP-CLR"	| 0.102	| 0.218	| 0.139	| 499	|
| NT "PP-LOC-CLR"	| 1.000	| 0.000	| 0.000	| 62	|
| NT "ADVP-MNR"	| 0.000	| 0.000	| 0.000	| 155	|
| NT "QP"	| 0.264	| 0.216	| 0.238	| 490	|
| NT "PP-TMP"	| 0.263	| 0.198	| 0.226	| 551	|
| NT "WHNP-4"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "NP-SBJ-2"	| 0.333	| 0.082	| 0.132	| 243	|
| NT "S-ADV"	| 0.307	| 0.320	| 0.313	| 147	|
| NT "S-TPC-1"	| 0.625	| 0.135	| 0.222	| 148	|
| NT "NP-LGS"	| 0.284	| 0.350	| 0.313	| 163	|
| NT "PRT"	| 0.174	| 0.189	| 0.181	| 159	|
| NT "ADVP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "PP-LOC-3"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "ADVP-TMP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-TMP=4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NX"	| 1.000	| 0.000	| 0.000	| 115	|
| NT "SINV"	| 1.000	| 0.000	| 0.000	| 157	|
| NT "PP-PRD-TPC-1"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-PRD"	| 0.019	| 0.031	| 0.023	| 32	|
| NT "SBAR-NOM"	| 0.200	| 0.042	| 0.069	| 24	|
| NT "ADVP-LOC"	| 0.111	| 0.023	| 0.038	| 44	|
| NT "WHADVP-1"	| 0.114	| 0.174	| 0.138	| 69	|
| NT "WHADJP-1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP-BNF"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADJP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PRN"	| 0.188	| 0.085	| 0.117	| 142	|
| NT "S-NOM"	| 0.162	| 0.162	| 0.162	| 148	|
| NT "S-NOM-SBJ"	| 0.000	| 0.000	| 0.000	| 12	|
| NT "SBAR-PRP"	| 0.167	| 0.105	| 0.129	| 57	|
| NT "SBAR-TMP"	| 0.165	| 0.137	| 0.150	| 131	|
| NT "FRAG-TPC-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "FRAG"	| 1.000	| 0.000	| 0.000	| 49	|
| NT "PP-DTV"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "WHADVP-2"	| 1.000	| 0.000	| 0.000	| 56	|
| NT "S-TPC-2"	| 0.000	| 0.000	| 0.000	| 65	|
| NT "NP-1"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "NP-MNR"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP-PRD-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-4"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "NP-PRD=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP=4"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S-1"	| 1.000	| 0.000	| 0.000	| 40	|
| NT "SBAR-PRD"	| 0.600	| 0.222	| 0.324	| 27	|
| NT "NP-SBJ-3"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "WHNP-1601"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC-PRD"	| 1.000	| 0.016	| 0.032	| 61	|
| NT "WHNP-1602"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S-3"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBARQ"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "WHNP"	| 0.000	| 0.000	| 0.000	| 30	|
| NT "NP-3"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "NP-SBJ-4"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-5"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "NP-EXT"	| 0.286	| 0.128	| 0.177	| 78	|
| NT "ADVP-PRD"	| 0.312	| 0.161	| 0.213	| 31	|
| NT "NP-2"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "NP-SBJ=1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP=2"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S-CLR"	| 0.125	| 0.049	| 0.070	| 41	|
| NT "WHPP-2"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "PP-PRP"	| 0.286	| 0.024	| 0.043	| 85	|
| NT "NP-ADV"	| 0.237	| 0.205	| 0.220	| 112	|
| NT "NAC-LOC"	| 1.000	| 0.000	| 0.000	| 16	|
| NT "ADVP-DIR"	| 1.000	| 0.000	| 0.000	| 77	|
| NT "PP-EXT"	| 1.000	| 0.000	| 0.000	| 25	|
| NT "PP-MNR"	| 0.120	| 0.081	| 0.097	| 37	|
| NT "NP-TPC-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADVP-3"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "INTJ"	| 1.000	| 0.000	| 0.000	| 11	|
| NT "NAC"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "NP-CLR"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "SBAR-3"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "S-2"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "UCP"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "S-PRP"	| 0.065	| 0.100	| 0.078	| 60	|
| NT "WHADJP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADVP"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "PP-1"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "S-CLF"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "FRAG-TPC-2"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "SQ"	| 1.000	| 0.056	| 0.105	| 18	|
| NT "ADVP-CLR"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "PP-2"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "S-TPC-3"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBAR-NOM-SBJ"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S-PRD"	| 0.667	| 0.333	| 0.444	| 12	|
| NT "S-NOM-PRD"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "SBAR-2"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "SBARQ-PRD"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "ADJP-2"	| 1.000	| 0.000	| 0.000	| 1	|
