Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.501	| 0.490	| 0.496	| 5234	|
| NT "NP-SBJ"	| 0.302	| 0.360	| 0.328	| 4557	|
| NT "NP-SBJ-1"	| 1.000	| 0.000	| 0.000	| 687	|
| NT "DT"	| 0.242	| 0.235	| 0.238	| 4816	|
| NT "NP"	| 0.193	| 0.219	| 0.205	| 13918	|
| SHIFT	| 0.314	| 0.314	| 0.314	| 60548	|
| REDUCE	| 0.493	| 0.485	| 0.489	| 107881	|
| NT "NN"	| 0.123	| 0.197	| 0.152	| 7568	|
| NT "JJ"	| 0.116	| 0.093	| 0.103	| 3707	|
| NT "VP"	| 0.246	| 0.259	| 0.252	| 8754	|
| NT "VBZ"	| 0.180	| 0.252	| 0.210	| 1233	|
| NT "PP-CLR"	| 0.072	| 0.132	| 0.093	| 499	|
| NT "PP"	| 0.156	| 0.162	| 0.159	| 3069	|
| NT "IN"	| 0.210	| 0.199	| 0.204	| 5854	|
| NT "NNP"	| 0.178	| 0.147	| 0.161	| 5918	|
| NT "NNS"	| 0.118	| 0.103	| 0.110	| 3507	|
| NT "ADJP-PRD"	| 0.073	| 0.032	| 0.044	| 439	|
| NT "RB"	| 0.190	| 0.105	| 0.136	| 2053	|
| NT "VBN"	| 0.166	| 0.200	| 0.181	| 1099	|
| NT "-NONE-"	| 0.219	| 0.212	| 0.215	| 3864	|
| NT "TO"	| 0.199	| 0.198	| 0.198	| 1240	|
| NT "VB"	| 0.211	| 0.186	| 0.198	| 1580	|
| NT "ADVP"	| 0.173	| 0.138	| 0.154	| 587	|
| NT "RBR"	| 0.000	| 0.000	| 0.000	| 112	|
| NT "JJR"	| 0.133	| 0.086	| 0.104	| 198	|
| NT "."	| 0.210	| 0.209	| 0.210	| 2363	|
| ERROR	| 0.000	| 0.000	| 0.000	| 3254	|
| NT "POS"	| 0.197	| 0.199	| 0.198	| 549	|
| NT "VBD"	| 0.229	| 0.234	| 0.231	| 1836	|
| NT "NP-TMP"	| 0.111	| 0.096	| 0.103	| 272	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-TMP"	| 0.088	| 0.087	| 0.087	| 551	|
| NT "PP-LOC"	| 0.128	| 0.119	| 0.123	| 817	|
| NT ","	| 0.218	| 0.218	| 0.218	| 3062	|
| NT "CD"	| 0.184	| 0.143	| 0.161	| 1924	|
| NT "CC"	| 0.200	| 0.193	| 0.197	| 1373	|
| NT "ADVP-TMP"	| 0.064	| 0.053	| 0.058	| 432	|
| NT "VBG"	| 0.095	| 0.115	| 0.104	| 817	|
| NT "NP-PRD"	| 0.145	| 0.100	| 0.118	| 401	|
| NT "VBP"	| 0.220	| 0.182	| 0.199	| 802	|
| NT "ADJP"	| 0.129	| 0.029	| 0.047	| 449	|
| NT "``"	| 0.505	| 0.497	| 0.501	| 531	|
| NT "''"	| 0.156	| 0.154	| 0.155	| 512	|
| NT "SBAR"	| 0.243	| 0.223	| 0.233	| 1509	|
| NT "WHNP-2"	| 0.100	| 0.031	| 0.047	| 130	|
| NT "MD"	| 0.290	| 0.253	| 0.271	| 584	|
| NT "WHNP-3"	| 1.000	| 0.000	| 0.000	| 43	|
| NT "PP-DIR"	| 0.091	| 0.088	| 0.089	| 217	|
| NT "PRP$"	| 0.168	| 0.151	| 0.159	| 509	|
| NT "PP-LOC-CLR"	| 1.000	| 0.000	| 0.000	| 62	|
| NT "PRP"	| 0.304	| 0.301	| 0.303	| 1055	|
| NT "NP-LGS"	| 0.143	| 0.043	| 0.066	| 163	|
| NT ":"	| 0.201	| 0.188	| 0.194	| 324	|
| NT "ADVP-MNR"	| 0.000	| 0.000	| 0.000	| 155	|
| NT "QP"	| 0.199	| 0.108	| 0.140	| 490	|
| NT "$"	| 0.214	| 0.200	| 0.207	| 375	|
| NT "WHNP-1"	| 0.096	| 0.136	| 0.113	| 308	|
| NT "WDT"	| 0.138	| 0.136	| 0.137	| 280	|
| NT "JJS"	| 0.000	| 0.000	| 0.000	| 127	|
| NT "WHNP-4"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "NP-SBJ-2"	| 1.000	| 0.000	| 0.000	| 243	|
| NT "S-ADV"	| 0.237	| 0.190	| 0.211	| 147	|
| NT "S-TPC-1"	| 0.370	| 0.135	| 0.198	| 148	|
