Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.865	| 0.905	| 0.885	| 5234	|
| NT "NP-SBJ"	| 0.716	| 0.972	| 0.825	| 4557	|
| NT "NP-SBJ-1"	| 1.000	| 0.000	| 0.000	| 687	|
| NT "DT"	| 0.798	| 0.918	| 0.854	| 4816	|
| NT "NP"	| 0.778	| 0.780	| 0.779	| 13918	|
| SHIFT	| 0.999	| 1.000	| 0.999	| 60548	|
| REDUCE	| 0.986	| 0.984	| 0.985	| 107881	|
| NT "NN"	| 0.602	| 0.862	| 0.708	| 7568	|
| NT "JJ"	| 0.629	| 0.615	| 0.622	| 3707	|
| NT "PP"	| 0.781	| 0.832	| 0.805	| 3069	|
| NT "IN"	| 0.939	| 0.971	| 0.955	| 5854	|
| NT "NNS"	| 0.700	| 0.547	| 0.614	| 3507	|
| NT "VP"	| 0.897	| 0.947	| 0.921	| 8754	|
| NT "VBZ"	| 0.698	| 0.905	| 0.788	| 1233	|
| NT "ADJP-PRD"	| 0.475	| 0.194	| 0.275	| 439	|
| NT "RB"	| 0.820	| 0.771	| 0.795	| 2053	|
| NT "-NONE-"	| 0.980	| 0.980	| 0.980	| 3864	|
| NT "TO"	| 0.992	| 0.977	| 0.984	| 1240	|
| NT "VB"	| 0.890	| 0.911	| 0.900	| 1580	|
| NT "ADVP"	| 0.495	| 0.271	| 0.350	| 587	|
| NT "ADJP"	| 0.592	| 0.100	| 0.171	| 449	|
| NT "RBR"	| 0.731	| 0.170	| 0.275	| 112	|
| NT "."	| 1.000	| 0.988	| 0.994	| 2363	|
| NT "NNP"	| 0.744	| 0.666	| 0.703	| 5918	|
| NT "POS"	| 0.966	| 0.985	| 0.976	| 549	|
| NT "NP-TMP"	| 0.724	| 0.511	| 0.599	| 272	|
| NT "VBN"	| 0.803	| 0.773	| 0.788	| 1099	|
| NT "PP-CLR"	| 0.439	| 0.747	| 0.553	| 499	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-LOC"	| 0.626	| 0.564	| 0.594	| 817	|
| NT ","	| 0.889	| 0.941	| 0.914	| 3062	|
| NT "CC"	| 0.885	| 0.909	| 0.897	| 1373	|
| NT "VBD"	| 0.856	| 0.817	| 0.836	| 1836	|
| NT "NP-PRD"	| 0.589	| 0.389	| 0.468	| 401	|
| NT "CD"	| 0.839	| 0.796	| 0.817	| 1924	|
| NT "ADVP-TMP"	| 0.454	| 0.262	| 0.332	| 432	|
| NT "VBG"	| 0.718	| 0.677	| 0.697	| 817	|
| NT "VBP"	| 0.835	| 0.731	| 0.779	| 802	|
| NT "JJR"	| 0.557	| 0.394	| 0.462	| 198	|
| NT "``"	| 0.887	| 0.872	| 0.879	| 531	|
| NT "''"	| 0.906	| 0.959	| 0.932	| 512	|
| NT "SBAR"	| 0.900	| 0.803	| 0.849	| 1509	|
| NT "WHNP-1"	| 0.555	| 0.945	| 0.700	| 308	|
| NT "WHNP-2"	| 0.714	| 0.192	| 0.303	| 130	|
| NT "MD"	| 0.956	| 0.978	| 0.967	| 584	|
| NT "WHNP-3"	| 1.000	| 0.000	| 0.000	| 43	|
| NT "PRP$"	| 0.748	| 0.910	| 0.821	| 509	|
| NT "PP-TMP"	| 0.366	| 0.356	| 0.361	| 551	|
| NT "PP-LOC-CLR"	| 1.000	| 0.000	| 0.000	| 62	|
| NT "PRP"	| 0.925	| 0.965	| 0.945	| 1055	|
| NT ":"	| 0.890	| 0.870	| 0.880	| 324	|
| NT "ADVP-MNR"	| 0.000	| 0.000	| 0.000	| 155	|
| NT "$"	| 0.793	| 0.848	| 0.820	| 375	|
| NT "WDT"	| 0.929	| 0.929	| 0.929	| 280	|
| NT "QP"	| 0.594	| 0.341	| 0.433	| 490	|
| NT "PP-DIR"	| 0.585	| 0.364	| 0.449	| 217	|
| NT "JJS"	| 0.900	| 0.071	| 0.131	| 127	|
| NT "WHNP-4"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "NP-SBJ-2"	| 1.000	| 0.000	| 0.000	| 243	|
| NT "S-ADV"	| 0.933	| 0.667	| 0.778	| 147	|
| NT "S-TPC-1"	| 0.487	| 0.500	| 0.493	| 148	|
| NT "NP-LGS"	| 0.824	| 0.172	| 0.284	| 163	|
| NT "PRT"	| 0.652	| 0.579	| 0.613	| 159	|
| NT "RP"	| 1.000	| 0.874	| 0.933	| 182	|
| NT "ADVP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "PP-LOC-3"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "ADVP-TMP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-TMP=4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NX"	| 0.923	| 0.209	| 0.340	| 115	|
| NT "SINV"	| 1.000	| 0.000	| 0.000	| 157	|
| NT "PP-PRD-TPC-1"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-PRD"	| 1.000	| 0.000	| 0.000	| 32	|
| NT "SBAR-NOM"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "WP"	| 0.806	| 0.901	| 0.851	| 111	|
| NT "ADVP-LOC"	| 1.000	| 0.000	| 0.000	| 44	|
| NT "WHADJP-1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "WRB"	| 0.910	| 0.917	| 0.914	| 133	|
| NT "NP-BNF"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADVP-1"	| 0.435	| 0.536	| 0.481	| 69	|
| NT "WHADJP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP-EXT"	| 0.488	| 0.269	| 0.347	| 78	|
| NT "PRN"	| 0.862	| 0.352	| 0.500	| 142	|
| NT "S-NOM"	| 0.932	| 0.831	| 0.879	| 148	|
| NT "S-NOM-SBJ"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBAR-PRP"	| 0.643	| 0.158	| 0.254	| 57	|
| NT "SBAR-ADV"	| 0.583	| 0.090	| 0.156	| 155	|
| NT "FRAG-TPC-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "FRAG"	| 1.000	| 0.000	| 0.000	| 49	|
| NT "PP-DTV"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "SBAR-TMP"	| 0.473	| 0.198	| 0.280	| 131	|
| NT "WHADVP-2"	| 1.000	| 0.000	| 0.000	| 56	|
| NT "S-TPC-2"	| 1.000	| 0.000	| 0.000	| 65	|
| NT "NP-1"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "NP-MNR"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP-PRD-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-4"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "NP-PRD=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP=4"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S-1"	| 1.000	| 0.000	| 0.000	| 40	|
| NT "SBAR-PRD"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-3"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "PDT"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "WHNP-1601"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 61	|
| NT "WHNP-1602"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S-3"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBARQ"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "WHNP"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "NP-3"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "NP-SBJ-4"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-5"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "ADVP-PRD"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "NP-2"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "NP-SBJ=1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP=2"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S-CLR"	| 1.000	| 0.000	| 0.000	| 41	|
| NT "WHPP-2"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "PP-PRP"	| 1.000	| 0.000	| 0.000	| 85	|
| NT "NP-ADV"	| 0.951	| 0.875	| 0.912	| 112	|
| NT "NAC-LOC"	| 1.000	| 0.000	| 0.000	| 16	|
| NT "ADVP-DIR"	| 1.000	| 0.000	| 0.000	| 77	|
| NT "PP-EXT"	| 1.000	| 0.000	| 0.000	| 25	|
| NT "PP-MNR"	| 1.000	| 0.000	| 0.000	| 37	|
| NT "NP-TPC-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "-LRB-"	| 1.000	| 0.889	| 0.941	| 72	|
| NT "-RRB-"	| 0.833	| 0.694	| 0.758	| 72	|
| NT "WP$"	| 1.000	| 0.000	| 0.000	| 21	|
| NT "WHADVP-3"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "INTJ"	| 1.000	| 0.000	| 0.000	| 11	|
| NT "UH"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "NAC"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "NP-CLR"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "SBAR-3"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "EX"	| 0.946	| 0.930	| 0.938	| 57	|
| NT "S-2"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "UCP"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "S-PRP"	| 0.366	| 0.250	| 0.297	| 60	|
| NT "WHADJP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADVP"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "PP-1"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "S-CLF"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "FRAG-TPC-2"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "SQ"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "ADVP-CLR"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "PP-2"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "RBS"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "S-TPC-3"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBAR-NOM-SBJ"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S-NOM-PRD"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "SBAR-2"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "SBARQ-PRD"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "ADJP-2"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC-1"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "VP-1"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "ADVP-PRP"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "NNPS"	| 0.000	| 0.000	| 0.000	| 42	|
| NT "VP-2"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S-TPC"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP-4"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "VP-TPC-2"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "WHNP-52"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP-SBJ-51"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "#"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "VP-TPC-1"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "WHPP-1"	| 1.000	| 0.000	| 0.000	| 9	|
| NT "S-CLF-TPC-2"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHPP-3"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "PP-LOC-PRD-TPC-1	| 1.000	| 0.000	| 0.000	| 2	|
| NT "WHPP"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "ADVP-TMP-CLR"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP-LOC"	| 1.000	| 0.000	| 0.000	| 32	|
