Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.533	| 0.527	| 0.530	| 5234	|
| NT "NP-SBJ"	| 0.385	| 0.400	| 0.392	| 4557	|
| NT "NP-SBJ-1"	| 0.394	| 0.362	| 0.378	| 687	|
| NT "NP"	| 0.256	| 0.300	| 0.277	| 13918	|
| NT "DT"	| 0.315	| 0.311	| 0.313	| 4816	|
| SHIFT	| 0.363	| 0.363	| 0.363	| 60548	|
| REDUCE	| 0.530	| 0.531	| 0.530	| 107881	|
| NT "JJ"	| 0.160	| 0.140	| 0.150	| 3707	|
| NT "NN"	| 0.179	| 0.245	| 0.206	| 7568	|
| NT "PP"	| 0.216	| 0.226	| 0.221	| 3069	|
| NT "IN"	| 0.277	| 0.279	| 0.278	| 5854	|
| NT "NNS"	| 0.161	| 0.161	| 0.161	| 3507	|
| NT "VP"	| 0.304	| 0.317	| 0.310	| 8754	|
| NT "VBZ"	| 0.287	| 0.316	| 0.301	| 1233	|
| NT "ADJP-PRD"	| 0.152	| 0.107	| 0.126	| 439	|
| NT "VBN"	| 0.227	| 0.235	| 0.231	| 1099	|
| NT "RB"	| 0.239	| 0.164	| 0.195	| 2053	|
| NT "-NONE-"	| 0.285	| 0.269	| 0.277	| 3864	|
| NT "TO"	| 0.257	| 0.256	| 0.257	| 1240	|
| NT "VB"	| 0.240	| 0.251	| 0.245	| 1580	|
| NT "ADVP"	| 0.209	| 0.221	| 0.215	| 587	|
| NT "RBR"	| 0.100	| 0.036	| 0.053	| 112	|
| NT "."	| 0.261	| 0.262	| 0.262	| 2363	|
| ERROR	| 0.000	| 0.000	| 0.000	| 3876	|
| NT "NNP"	| 0.251	| 0.207	| 0.227	| 5918	|
| NT "POS"	| 0.284	| 0.290	| 0.287	| 549	|
| NT "NP-TMP"	| 0.118	| 0.125	| 0.121	| 272	|
| NT "VBP"	| 0.255	| 0.224	| 0.239	| 802	|
| NT "PP-CLR"	| 0.112	| 0.184	| 0.139	| 499	|
| NT "PP-TMP"	| 0.159	| 0.196	| 0.175	| 551	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-LOC"	| 0.184	| 0.191	| 0.188	| 817	|
| NT ","	| 0.273	| 0.274	| 0.273	| 3062	|
| NT "CC"	| 0.225	| 0.221	| 0.223	| 1373	|
| NT "NP-PRD"	| 0.241	| 0.157	| 0.190	| 401	|
| NT "NP-ADV"	| 0.158	| 0.161	| 0.159	| 112	|
| NT "VBD"	| 0.288	| 0.298	| 0.293	| 1836	|
| NT "CD"	| 0.226	| 0.206	| 0.216	| 1924	|
| NT "ADVP-TMP"	| 0.143	| 0.106	| 0.122	| 432	|
| NT "SBAR"	| 0.309	| 0.293	| 0.301	| 1509	|
| NT "WHNP-1"	| 0.177	| 0.253	| 0.209	| 308	|
| NT "WDT"	| 0.261	| 0.204	| 0.229	| 280	|
| NT "VBG"	| 0.124	| 0.164	| 0.141	| 817	|
| NT "ADJP"	| 0.167	| 0.062	| 0.091	| 449	|
| NT "JJR"	| 0.160	| 0.096	| 0.120	| 198	|
| NT "``"	| 0.525	| 0.522	| 0.523	| 531	|
| NT "''"	| 0.230	| 0.229	| 0.229	| 512	|
