Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.874	| 0.916	| 0.894	| 5234	|
| NT "NP-SBJ"	| 0.839	| 0.955	| 0.893	| 4557	|
| NT "NP-SBJ-1"	| 0.656	| 0.674	| 0.665	| 687	|
| NT "NP"	| 0.818	| 0.854	| 0.836	| 13918	|
| NT "DT"	| 0.876	| 0.923	| 0.899	| 4816	|
| SHIFT	| 1.000	| 1.000	| 1.000	| 60548	|
| REDUCE	| 0.987	| 0.988	| 0.987	| 107881	|
| NT "JJ"	| 0.688	| 0.634	| 0.660	| 3707	|
| NT "NN"	| 0.661	| 0.850	| 0.744	| 7568	|
| NT "PP"	| 0.831	| 0.821	| 0.826	| 3069	|
| NT "IN"	| 0.954	| 0.975	| 0.964	| 5854	|
| NT "NNS"	| 0.724	| 0.628	| 0.672	| 3507	|
| NT "VP"	| 0.912	| 0.943	| 0.927	| 8754	|
| NT "VBZ"	| 0.805	| 0.872	| 0.837	| 1233	|
| NT "ADJP-PRD"	| 0.447	| 0.296	| 0.356	| 439	|
| NT "RB"	| 0.843	| 0.809	| 0.826	| 2053	|
| NT "-NONE-"	| 0.990	| 0.984	| 0.987	| 3864	|
| NT "TO"	| 0.986	| 0.974	| 0.980	| 1240	|
| NT "VB"	| 0.879	| 0.941	| 0.909	| 1580	|
| NT "ADVP"	| 0.469	| 0.436	| 0.452	| 587	|
| NT "RBR"	| 0.776	| 0.464	| 0.581	| 112	|
| NT "."	| 0.999	| 0.994	| 0.996	| 2363	|
| NT "NNP"	| 0.792	| 0.712	| 0.750	| 5918	|
| NT "POS"	| 0.976	| 0.978	| 0.977	| 549	|
| NT "NP-TMP"	| 0.750	| 0.551	| 0.636	| 272	|
| NT "VBN"	| 0.830	| 0.806	| 0.818	| 1099	|
| NT "PP-CLR"	| 0.468	| 0.772	| 0.583	| 499	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-LOC"	| 0.634	| 0.602	| 0.618	| 817	|
| NT ","	| 0.903	| 0.931	| 0.917	| 3062	|
| NT "CC"	| 0.926	| 0.889	| 0.907	| 1373	|
| NT "CD"	| 0.839	| 0.842	| 0.841	| 1924	|
| NT "ADVP-TMP"	| 0.485	| 0.407	| 0.443	| 432	|
| NT "VBD"	| 0.838	| 0.870	| 0.854	| 1836	|
| NT "NP-PRD"	| 0.681	| 0.421	| 0.521	| 401	|
| NT "VBP"	| 0.814	| 0.766	| 0.789	| 802	|
| NT "VBG"	| 0.759	| 0.674	| 0.714	| 817	|
| NT "QP"	| 0.707	| 0.690	| 0.698	| 490	|
| NT "ADJP"	| 0.643	| 0.220	| 0.328	| 449	|
| NT "JJR"	| 0.630	| 0.404	| 0.492	| 198	|
| NT "``"	| 0.903	| 0.861	| 0.881	| 531	|
| NT "''"	| 0.961	| 0.959	| 0.960	| 512	|
| NT "SBAR"	| 0.888	| 0.860	| 0.874	| 1509	|
| NT "WHNP-1"	| 0.698	| 0.977	| 0.815	| 308	|
| NT "WHNP-2"	| 0.842	| 0.738	| 0.787	| 130	|
| NT "MD"	| 0.960	| 0.990	| 0.975	| 584	|
| NT "WHNP-3"	| 1.000	| 0.000	| 0.000	| 43	|
| NT "PRP$"	| 0.786	| 0.921	| 0.848	| 509	|
| NT "PP-LOC-CLR"	| 1.000	| 0.000	| 0.000	| 62	|
| NT "PRP"	| 0.956	| 0.984	| 0.970	| 1055	|
| NT ":"	| 0.905	| 0.907	| 0.906	| 324	|
| NT "ADVP-MNR"	| 0.111	| 0.006	| 0.012	| 155	|
| NT "$"	| 0.950	| 0.920	| 0.935	| 375	|
| NT "WDT"	| 0.957	| 0.946	| 0.952	| 280	|
| NT "PP-DIR"	| 0.756	| 0.470	| 0.580	| 217	|
| NT "JJS"	| 0.857	| 0.567	| 0.682	| 127	|
| NT "PP-TMP"	| 0.450	| 0.501	| 0.474	| 551	|
| NT "WHNP-4"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "NP-SBJ-2"	| 0.629	| 0.091	| 0.158	| 243	|
| NT "S-ADV"	| 0.795	| 0.816	| 0.805	| 147	|
| NT "S-TPC-1"	| 0.474	| 0.493	| 0.483	| 148	|
| NT "NP-LGS"	| 0.903	| 0.399	| 0.553	| 163	|
| NT "PRT"	| 0.590	| 0.761	| 0.665	| 159	|
| NT "RP"	| 1.000	| 0.868	| 0.929	| 182	|
| NT "ADVP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "PP-LOC-3"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "ADVP-TMP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-TMP=4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "SBAR-TMP"	| 0.581	| 0.328	| 0.420	| 131	|
| NT "NX"	| 0.723	| 0.296	| 0.420	| 115	|
| NT "SINV"	| 1.000	| 0.000	| 0.000	| 157	|
| NT "PP-PRD-TPC-1"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-PRD"	| 0.333	| 0.031	| 0.057	| 32	|
| NT "SBAR-NOM"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "WP"	| 0.817	| 0.964	| 0.884	| 111	|
| NT "ADVP-LOC"	| 0.500	| 0.045	| 0.083	| 44	|
| NT "WHADVP-1"	| 0.352	| 0.623	| 0.450	| 69	|
| NT "WHADJP-1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "WRB"	| 0.977	| 0.962	| 0.970	| 133	|
| NT "NP-BNF"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADJP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP-EXT"	| 0.609	| 0.359	| 0.452	| 78	|
| NT "PRN"	| 0.922	| 0.331	| 0.487	| 142	|
| NT "S-NOM"	| 0.868	| 0.892	| 0.880	| 148	|
| NT "S-NOM-SBJ"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBAR-PRP"	| 0.878	| 0.632	| 0.735	| 57	|
| NT "SBAR-ADV"	| 0.632	| 0.619	| 0.625	| 155	|
| NT "FRAG-TPC-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "FRAG"	| 1.000	| 0.000	| 0.000	| 49	|
| NT "PP-DTV"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "WHADVP-2"	| 1.000	| 0.000	| 0.000	| 56	|
| NT "S-TPC-2"	| 1.000	| 0.000	| 0.000	| 65	|
| NT "NP-1"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "NP-MNR"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP-PRD-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-4"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "NP-PRD=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP=4"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S-1"	| 1.000	| 0.000	| 0.000	| 40	|
| NT "SBAR-PRD"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-3"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "PDT"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "WHNP-1601"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 61	|
| NT "WHNP-1602"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S-3"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "NP-HLN"	| 0.536	| 0.300	| 0.385	| 50	|
| NT "SBARQ"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "WHNP"	| 1.000	| 0.400	| 0.571	| 30	|
| NT "NP-3"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "NP-SBJ-4"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-5"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "ADVP-PRD"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "NP-2"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "NP-SBJ=1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP=2"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S-PRP"	| 0.418	| 0.633	| 0.503	| 60	|
| NT "S-CLR"	| 1.000	| 0.000	| 0.000	| 41	|
| NT "WHPP-1"	| 0.000	| 0.000	| 0.000	| 9	|
| NT "WHPP-2"	| 1.000	| 0.000	| 0.000	| 7	|
