Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "NP"	| 0.677	| 0.817	| 0.741	| 17892	|
| NT "N"	| 0.558	| 0.427	| 0.484	| 9676	|
| SHIFT	| 0.781	| 0.873	| 0.825	| 55371	|
| REDUCE	| 0.994	| 0.999	| 0.997	| 60717	|
| NT "S[dcl]"	| 0.932	| 0.920	| 0.926	| 7472	|
| NT "N/N"	| 0.710	| 0.039	| 0.074	| 561	|
| NT "N/N[conj]"	| 1.000	| 0.000	| 0.000	| 51	|
| NT "NP\\NP"	| 0.799	| 0.881	| 0.838	| 3916	|
| NT "S[dcl]\\NP"	| 0.908	| 0.835	| 0.870	| 5273	|
| NT "(S\\NP)\\(S\\NP)	| 0.692	| 0.696	| 0.694	| 2386	|
| NT "S[dcl]\\NP[conj]	| 0.839	| 0.182	| 0.299	| 143	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 222	|
| NT "S[b]\\NP"	| 0.914	| 0.707	| 0.797	| 1997	|
| NT "NP[conj]"	| 0.575	| 0.224	| 0.322	| 1051	|
| NT "S[pss]\\NP"	| 0.460	| 0.299	| 0.363	| 788	|
| NT "N[num]"	| 0.732	| 0.758	| 0.745	| 256	|
| NT "N\\N"	| 1.000	| 0.000	| 0.000	| 107	|
| NT "S[to]\\NP"	| 0.719	| 0.412	| 0.524	| 776	|
| NT "(NP\\NP)/(NP\\NP	| 1.000	| 0.000	| 0.000	| 14	|
| NT "((NP\\NP)/(NP\\N	| 1.000	| 0.000	| 0.000	| 8	|
| NT "S[ng]\\NP"	| 0.490	| 0.109	| 0.178	| 875	|
| NT "PP"	| 0.662	| 0.378	| 0.481	| 921	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S[adj]\\NP"	| 0.342	| 0.078	| 0.127	| 487	|
| NT "S[dcl][conj]"	| 0.734	| 0.957	| 0.831	| 254	|
| NT "NP[nb]/N"	| 1.000	| 0.000	| 0.000	| 566	|
| NT "S[em]"	| 0.700	| 0.025	| 0.048	| 283	|
| NT "(S[dcl]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "(S[adj]\\NP)\\(S	| 0.718	| 0.475	| 0.571	| 59	|
| NT "S[pt]\\NP"	| 0.789	| 0.651	| 0.713	| 524	|
| NT "S[dcl]\\S[dcl]"	| 0.935	| 0.931	| 0.933	| 591	|
| NT "(S[adj]\\NP)\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S/S"	| 0.963	| 0.042	| 0.080	| 621	|
| NT "S\\S"	| 1.000	| 0.030	| 0.058	| 67	|
| NT "(S\\NP)\\(S\\NP)	| 1.000	| 0.000	| 0.000	| 46	|
| NT "(S[ng]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 50	|
| NT "(N/N)/(N/N)"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "N[conj]"	| 0.762	| 0.074	| 0.136	| 215	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 54	|
| NT "S[dcl]\\NP[expl]	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(S[dcl]\\NP[expl	| 0.321	| 0.818	| 0.462	| 11	|
| NT "((S[dcl]\\NP[exp	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[b]\\NP)/S[em]	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[b]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 73	|
| NT "S[dcl]/NP"	| 0.500	| 0.042	| 0.077	| 96	|
| NT "S/(S\\NP)"	| 0.959	| 0.979	| 0.969	| 144	|
| NT "(S[dcl]\\NP)/NP"	| 0.884	| 0.455	| 0.601	| 167	|
| NT "(S[adj]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 18	|
