Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "NP"	| 0.661	| 0.746	| 0.701	| 17892	|
| NT "N"	| 0.404	| 0.558	| 0.469	| 9676	|
| SHIFT	| 0.777	| 0.813	| 0.795	| 55371	|
| REDUCE	| 0.984	| 0.995	| 0.990	| 60717	|
| NT "S[dcl]	| 0.861	| 0.898	| 0.879	| 7472	|
| NT "N/N"	| 1.000	| 0.000	| 0.000	| 561	|
| NT "N/N[co	| 1.000	| 0.000	| 0.000	| 51	|
| NT "S[dcl]	| 0.901	| 0.753	| 0.821	| 5273	|
| NT "NP\\NP	| 0.750	| 0.892	| 0.815	| 3916	|
| NT "(S\\NP	| 0.477	| 0.731	| 0.577	| 2386	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 143	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 222	|
| NT "S[b]\\	| 0.878	| 0.653	| 0.749	| 1997	|
| NT "NP[con	| 0.500	| 0.002	| 0.004	| 1051	|
| NT "S[pss]	| 0.327	| 0.150	| 0.205	| 788	|
| NT "N[num]	| 0.714	| 0.809	| 0.758	| 256	|
| NT "N\\N"	| 1.000	| 0.000	| 0.000	| 107	|
| NT "(NP\\N	| 1.000	| 0.000	| 0.000	| 14	|
| NT "((NP\\	| 1.000	| 0.000	| 0.000	| 8	|
| NT "PP"	| 0.287	| 0.102	| 0.151	| 921	|
| NT "S[ng]\	| 0.857	| 0.014	| 0.027	| 875	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S[adj]	| 0.000	| 0.000	| 0.000	| 487	|
| NT "S[dcl]	| 0.919	| 0.358	| 0.516	| 254	|
| NT "NP[nb]	| 1.000	| 0.000	| 0.000	| 566	|
| NT "S[em]"	| 1.000	| 0.000	| 0.000	| 283	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 84	|
| NT "S[pt]\	| 0.789	| 0.420	| 0.548	| 524	|
| NT "S[dcl]	| 0.933	| 0.680	| 0.787	| 591	|
| NT "(S[adj	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S/S"	| 1.000	| 0.000	| 0.000	| 621	|
| NT "S\\S"	| 1.000	| 0.000	| 0.000	| 67	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 46	|
| NT "S[to]\	| 0.500	| 0.001	| 0.003	| 776	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 50	|
