Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "NP"	| 0.647	| 0.795	| 0.713	| 17892	|
| NT "N"	| 0.548	| 0.401	| 0.463	| 9676	|
| SHIFT	| 0.761	| 0.875	| 0.814	| 55371	|
| REDUCE	| 0.991	| 0.998	| 0.995	| 60717	|
| NT "S[dcl]	| 0.922	| 0.906	| 0.914	| 7472	|
| NT "N/N"	| 1.000	| 0.000	| 0.000	| 561	|
| NT "N/N[co	| 1.000	| 0.000	| 0.000	| 51	|
| NT "S[dcl]	| 0.932	| 0.783	| 0.851	| 5273	|
| NT "NP\\NP	| 0.789	| 0.852	| 0.819	| 3916	|
| NT "(S\\NP	| 0.587	| 0.661	| 0.622	| 2386	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 143	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 222	|
| NT "S[b]\\	| 0.928	| 0.650	| 0.765	| 1997	|
| NT "NP[con	| 0.647	| 0.094	| 0.164	| 1051	|
| NT "S[pss]	| 0.400	| 0.209	| 0.275	| 788	|
| NT "N[num]	| 0.716	| 0.855	| 0.779	| 256	|
| NT "N\\N"	| 1.000	| 0.000	| 0.000	| 107	|
| NT "(NP\\N	| 1.000	| 0.000	| 0.000	| 14	|
| NT "((NP\\	| 1.000	| 0.000	| 0.000	| 8	|
| NT "S[ng]\	| 0.308	| 0.005	| 0.009	| 875	|
| NT "PP"	| 0.370	| 0.136	| 0.199	| 921	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S[adj]	| 0.000	| 0.000	| 0.000	| 487	|
| NT "S[dcl]	| 0.750	| 0.461	| 0.571	| 254	|
| NT "NP[nb]	| 1.000	| 0.000	| 0.000	| 566	|
| NT "S[em]"	| 1.000	| 0.000	| 0.000	| 283	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 84	|
| NT "S[dcl]	| 0.845	| 0.939	| 0.889	| 591	|
| NT "(S[adj	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 43	|
| NT "S/S"	| 1.000	| 0.000	| 0.000	| 621	|
| NT "S[to]\	| 0.572	| 0.164	| 0.255	| 776	|
| NT "S\\S"	| 1.000	| 0.000	| 0.000	| 67	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 46	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 50	|
| NT "S[pt]\	| 0.836	| 0.477	| 0.608	| 524	|
| NT "(N/N)/	| 1.000	| 0.000	| 0.000	| 23	|
| NT "N[conj	| 1.000	| 0.000	| 0.000	| 215	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 54	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 11	|
| NT "((S[dc	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 73	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 96	|
| NT "S/(S\\	| 0.986	| 0.979	| 0.983	| 144	|
| NT "(S[dcl	| 0.767	| 0.138	| 0.234	| 167	|
| NT "(S[adj	| 1.000	| 0.000	| 0.000	| 18	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 7	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 83	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 21	|
| NT "(S/S)/	| 1.000	| 0.000	| 0.000	| 4	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(N/N)\	| 1.000	| 0.000	| 0.000	| 16	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 11	|
| NT "(S[pss	| 1.000	| 0.000	| 0.000	| 10	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 144	|
| NT "(NP\\N	| 1.000	| 0.000	| 0.000	| 15	|
| NT "S[qem]	| 1.000	| 0.000	| 0.000	| 54	|
| NT "S[em][	| 1.000	| 0.000	| 0.000	| 12	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 31	|
| NT "(S[adj	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 32	|
| NT "PP/NP"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 40	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 77	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 11	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 3	|
| NT "conj"	| 1.000	| 0.000	| 0.000	| 33	|
| NT "S[b]\\	| 1.000	| 0.000	| 0.000	| 53	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 41	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 54	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[adj	| 1.000	| 0.000	| 0.000	| 59	|
| NT "S[inv]	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 38	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(S[to]	| 1.000	| 0.000	| 0.000	| 25	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 8	|
| NT "PP\\PP	| 1.000	| 0.000	| 0.000	| 11	|
| NT "(NP\\N	| 1.000	| 0.000	| 0.000	| 28	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[adj	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(NP\\N	| 1.000	| 0.000	| 0.000	| 14	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 6	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 19	|
| NT "((S[ad	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[adj]	| 1.000	| 0.000	| 0.000	| 31	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 53	|
| NT "NP\\NP	| 1.000	| 0.000	| 0.000	| 26	|
| NT "S[qem]	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dc	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[ng]\	| 1.000	| 0.000	| 0.000	| 21	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S/S)\	| 1.000	| 0.000	| 0.000	| 5	|
| NT "S[qem]	| 1.000	| 0.000	| 0.000	| 8	|
| NT "S[qem]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP[con	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[for]	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S[for]	| 1.000	| 0.000	| 0.000	| 10	|
| NT "((S[dc	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP/(S[	| 1.000	| 0.000	| 0.000	| 3	|
| NT "N/PP"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 28	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 7	|
| NT "S[poss	| 1.000	| 0.000	| 0.000	| 7	|
| NT "S[em]/	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 30	|
| NT "S[wq]"	| 0.667	| 0.258	| 0.372	| 31	|
| NT "(S/S)/	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[inv]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 14	|
| NT "S[q]"	| 1.000	| 0.032	| 0.062	| 31	|
| NT "S[q]/(	| 1.000	| 0.000	| 0.000	| 9	|
| NT "S"	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(NP\\N	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[b]"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S/S[co	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[wq]/	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[q]/N	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 8	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[frg]	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[qem]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[adj	| 1.000	| 0.000	| 0.000	| 13	|
| NT "((S[ng	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[bem]	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[to]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP/NP"	| 1.000	| 0.000	| 0.000	| 28	|
| NT "(NP\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[b][c	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[adj	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 6	|
| NT "NP/(NP	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S/S)/	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(((S\\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP\\N	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[to]	| 1.000	| 0.000	| 0.000	| 5	|
| NT "S[pt]\	| 1.000	| 0.000	| 0.000	| 9	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 6	|
| NT "PP\\NP	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 6	|
| NT "((S[ng	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(((S[n	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[q]/(	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[intj	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[wq]/	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S\\S[c	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pss	| 1.000	| 0.000	| 0.000	| 12	|
| NT "N/S[em	| 1.000	| 0.000	| 0.000	| 3	|
| NT "N/S[em	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[pss]	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S[to]\	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(NP\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[pss	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[qem]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 8	|
| NT "((S[b]	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dc	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[ng]"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "(S/S)\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[qem	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[adj]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S/S)/	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[pss]	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 14	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(NP\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[adj	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[pt	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[pss	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((NP\\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP/(S[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP[nb	| 1.000	| 0.000	| 0.000	| 1	|
| NT "N/(S[t	| 1.000	| 0.000	| 0.000	| 1	|
| NT "N/(S[t	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[qem]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(((S\\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "conj[c	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S/S[dc	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\S)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\S)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S[dc	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP/NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[pt]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[q]/(	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(N/N)/	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(N\\N)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[q]/(	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S[ad	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\NP	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[qem	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dc	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dc	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[ng]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[dc	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP/(S[	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S\\(S/	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[pt	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[b]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[ad	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[ng][	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[b]\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[b]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[dcl]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[dc	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl	| 1.000	| 0.000	| 0.000	| 2	|

| micro	| 0.826	| 0.826	| 0.826	| 176805	|
| macro	| 0.973	| 0.045	| 0.048	| 176805	|
| w-avg	| 0.827	| 0.826	| 0.805	| 176805	|

Confusion matrix: 
|	| NT "NP"	| NT "N"	| SHIFT	| REDUCE	| NT "S[dcl]	| NT "N/N"	| NT "N/N[co	| NT "S[dcl]	| NT "NP\\NP	| NT "(S\\NP	| NT "S[dcl]	| NT "(S[dcl	| NT "S[b]\\	| NT "NP[con	| NT "S[pss]	| NT "N[num]	| NT "N\\N"	| NT "(NP\\N	| NT "((NP\\	| NT "S[ng]\	| NT "PP"	| NT "(S[dcl	| NT "S[adj]	| NT "S[dcl]	| NT "NP[nb]	| NT "S[em]"	| NT "(S[dcl	| NT "S[dcl]	| NT "(S[adj	| NT "(S[dcl	| NT "S/S"	| NT "S[to]\	| NT "S\\S"	| NT "(S\\NP	| NT "(S[ng]	| NT "S[pt]\	| NT "(N/N)/	| NT "N[conj	| NT "(S[dcl	| NT "S[dcl]	| NT "(S[dcl	| NT "((S[dc	| NT "(S[b]\	| NT "(S[b]\	| NT "S[dcl]	| NT "S/(S\\	| NT "(S[dcl	| NT "(S[adj	| NT "(S[pt]	| NT "(S[b]\	| NT "((S\\N	| NT "(S/S)/	| NT "((S\\N	| NT "((S\\N	| NT "(N/N)\	| NT "(S[pt]	| NT "(S[pss	| NT "(S\\NP	| NT "(NP\\N	| NT "S[qem]	| NT "S[em][	| NT "(S[dcl	| NT "(S[adj	| NT "(S[b]\	| NT "PP/NP"	| NT "((S\\N	| NT "S[dcl]	| NT "(S[dcl	| NT "(S[b]\	| NT "conj"	| NT "S[b]\\	| NT "(S[dcl	| NT "(S[dcl	| NT "S[dcl]	| NT "((S\\N	| NT "(S[adj	| NT "S[inv]	| NT "(S[dcl	| NT "S[dcl]	| NT "(S[to]	| NT "(S[dcl	| NT "(S[b]\	| NT "PP\\PP	| NT "(NP\\N	| NT "(S[pt]	| NT "(S[adj	| NT "((S\\N	| NT "(NP\\N	| NT "(S\\NP	| NT "((S\\N	| NT "(S\\NP	| NT "((S[ad	| NT "(S\\NP	| NT "S[adj]	| NT "(S[dcl	| NT "NP\\NP	| NT "S[qem]	| NT "S[dcl]	| NT "S[dcl]	| NT "(S[dcl	| NT "((S[dc	| NT "(S[dcl	| NT "S[ng]\	| NT "S[dcl]	| NT "(S/S)\	| NT "S[qem]	| NT "S[qem]	| NT "PP[con	| NT "S[for]	| NT "S[for]	| NT "((S[dc	| NT "NP/(S[	| NT "N/PP"	| NT "(S[dcl	| NT "(S[ng]	| NT "S[poss	| NT "S[em]/	| NT "(S[ng]	| NT "S[wq]"	| NT "(S/S)/	| NT "S[inv]	| NT "(S[pt]	| NT "S[q]"	| NT "S[q]/(	| NT "S"	| NT "(NP\\N	| NT "S[b]"	| NT "(S\\NP	| NT "(S[dcl	| NT "S/S[co	| NT "S[wq]/	| NT "S[q]/N	| NT "(S[b]\	| NT "(S[dcl	| NT "S[frg]	| NT "(S[dcl	| NT "S[qem]	| NT "((S\\N	| NT "(S[adj	| NT "((S[ng	| NT "S[bem]	| NT "(S[ng]	| NT "(S[pt]	| NT "S[to]"	| NT "NP/NP"	| NT "(NP\\N	| NT "(S\\NP	| NT "(S[dcl	| NT "S[b][c	| NT "(S[ng]	| NT "(S[adj	| NT "S[dcl]	| NT "NP/(NP	| NT "(S/S)/	| NT "(((S\\	| NT "(NP\\N	| NT "(S[to]	| NT "S[pt]\	| NT "((S\\N	| NT "(S[ng]	| NT "((S\\N	| NT "((S\\N	| NT "PP\\NP	| NT "(S[b]\	| NT "((S[ng	| NT "(((S[n	| NT "(S[ng]	| NT "(S[pt]	| NT "(S[pt]	| NT "S[q]/(	| NT "S[intj	| NT "S[wq]/	| NT "S\\S[c	| NT "(S[pss	| NT "N/S[em	| NT "N/S[em	| NT "S[pss]	| NT "S[to]\	| NT "(NP\\N	| NT "(S\\NP	| NT "(S[pss	| NT "(S[b]\	| NT "(S[ng]	| NT "S[qem]	| NT "(S[dcl	| NT "S[dcl]	| NT "((S[b]	| NT "(S[b]\	| NT "(S[dcl	| NT "((S[dc	| NT "S[ng]"	| NT "(S/S)\	| NT "(S[dcl	| NT "(S[pt]	| NT "(S[qem	| NT "S[adj]	| NT "(S/S)/	| NT "S[pss]	| NT "(S\\NP	| NT "(S[pt]	| NT "(S[b]\	| NT "(S[b]\	| NT "(S\\NP	| NT "(NP\\N	| NT "(S[adj	| NT "(S[dcl	| NT "((S[pt	| NT "((S\\N	| NT "((S\\N	| NT "(S[pss	| NT "((NP\\	| NT "(S[pt]	| NT "NP/(S[	| NT "(NP[nb	| NT "N/(S[t	| NT "N/(S[t	| NT "S[qem]	| NT "(((S\\	| NT "(S[dcl	| NT "(S[dcl	| NT "(S[ng]	| NT "conj[c	| NT "S/S[dc	| NT "(S\\S)	| NT "(S\\S)	| NT "(S[dcl	| NT "((S[dc	| NT "(NP/NP	| NT "(S[pt]	| NT "S[q]/(	| NT "(N/N)/	| NT "(N\\N)	| NT "S[q]/(	| NT "((S[ad	| NT "(S\\NP	| NT "(S[qem	| NT "(S[dcl	| NT "((S[dc	| NT "(S[dcl	| NT "((S[dc	| NT "((S\\N	| NT "(S[ng]	| NT "((S\\N	| NT "((S[dc	| NT "PP/(S[	| NT "S\\(S/	| NT "((S[pt	| NT "(S[dcl	| NT "((S[b]	| NT "((S[ad	| NT "((S\\N	| NT "(S[dcl	| NT "S[ng][	| NT "(S[b]\	| NT "((S[b]	| NT "S[dcl]	| NT "((S[dc	| NT "(S[dcl	|
| NT "NP"	| 14231	| 712	| 3097	| 27	| 553	| 1	| 0	| 104	| 60	| 443	| 1	| 0	| 104	| 91	| 183	| 1	| 0	| 0	| 0	| 395	| 373	| 0	| 207	| 0	| 131	| 122	| 0	| 7	| 0	| 0	| 543	| 226	| 12	| 10	| 0	| 116	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 4	| 16	| 0	| 2	| 0	| 0	| 0	| 0	| 0	| 0	| 1	| 0	| 2	| 0	| 15	| 0	| 36	| 0	| 0	| 0	| 0	| 0	| 4	| 1	| 0	| 0	| 2	| 5	| 0	| 0	| 4	| 0	| 11	| 0	| 0	| 4	| 6	| 0	| 0	| 0	| 0	| 0	| 0	| 1	| 3	| 4	| 0	| 4	| 1	| 0	| 3	| 0	| 6	| 0	| 0	| 0	| 1	| 0	| 0	| 2	| 0	| 2	| 1	| 0	| 0	| 5	| 0	| 0	| 3	| 0	| 6	| 0	| 4	| 0	| 0	| 8	| 0	| 0	| 0	| 14	| 0	| 4	| 0	| 7	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 2	| 0	| 1	| 0	| 0	| 0	| 3	| 0	| 0	| 1	| 19	| 1	| 3	| 0	| 1	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 2	| 1	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 1	| 0	| 0	| 0	| 0	| 0	| 1	| 0	| 0	| 0	| 0	| 1	| 0	| 1	| 2	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 2	| 0	| 1	| 1	| 0	| 0	| 0	| 3	| 7	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 1	| 1	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 1	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 1	| 0	| 0	| 0	| 0	| 1	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	| 0	|
