Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.859	| 0.388	| 0.535	| 5234	|
| NT "NP-SBJ"	| 0.377	| 0.197	| 0.259	| 4557	|
| NT "NP-SBJ-1"	| 1.000	| 0.000	| 0.000	| 687	|
| NT "NP"	| 0.066	| 0.139	| 0.090	| 13918	|
| NT "NNP"	| 0.028	| 0.171	| 0.048	| 5918	|
| NT "DT"	| 0.020	| 0.014	| 0.016	| 4816	|
| SHIFT	| 0.236	| 0.236	| 0.236	| 60548	|
| REDUCE	| 0.388	| 0.354	| 0.370	| 107881	|
| NT "JJ"	| 1.000	| 0.000	| 0.000	| 3707	|
| NT "NN"	| 0.031	| 0.014	| 0.019	| 7568	|
| NT ","	| 0.017	| 0.058	| 0.026	| 3062	|
| NT "PP"	| 0.012	| 0.012	| 0.012	| 3069	|
| NT "IN"	| 0.023	| 0.013	| 0.017	| 5854	|
| NT "NNS"	| 1.000	| 0.000	| 0.000	| 3507	|
| NT "VP"	| 0.093	| 0.005	| 0.009	| 8754	|
| NT "VBZ"	| 0.029	| 0.006	| 0.010	| 1233	|
| NT "ADJP-PRD"	| 1.000	| 0.000	| 0.000	| 439	|
| NT "RB"	| 1.000	| 0.000	| 0.000	| 2053	|
| NT "-NONE-"	| 0.031	| 0.002	| 0.003	| 3864	|
| NT "TO"	| 1.000	| 0.000	| 0.000	| 1240	|
| NT "VB"	| 1.000	| 0.000	| 0.000	| 1580	|
| NT "ADVP"	| 1.000	| 0.000	| 0.000	| 587	|
| NT "RBR"	| 1.000	| 0.000	| 0.000	| 112	|
| NT "."	| 0.066	| 0.066	| 0.066	| 2363	|
| ERROR	| 0.000	| 0.000	| 0.000	| 3914	|
| NT "POS"	| 1.000	| 0.000	| 0.000	| 549	|
| NT "NP-TMP"	| 1.000	| 0.000	| 0.000	| 272	|
| NT "VBN"	| 0.016	| 0.003	| 0.005	| 1099	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-LOC"	| 1.000	| 0.000	| 0.000	| 817	|
| NT "CC"	| 1.000	| 0.000	| 0.000	| 1373	|
| NT "PRP"	| 0.087	| 0.004	| 0.007	| 1055	|
| NT "CD"	| 1.000	| 0.000	| 0.000	| 1924	|
| NT "ADVP-TMP"	| 1.000	| 0.000	| 0.000	| 432	|
| NT "PP-CLR"	| 0.006	| 0.002	| 0.003	| 499	|
| NT "VBD"	| 0.000	| 0.000	| 0.000	| 1836	|
| NT "NP-PRD"	| 1.000	| 0.000	| 0.000	| 401	|
| NT "VBP"	| 1.000	| 0.000	| 0.000	| 802	|
| NT "ADJP"	| 1.000	| 0.000	| 0.000	| 449	|
| NT "JJR"	| 1.000	| 0.000	| 0.000	| 198	|
| NT "``"	| 1.000	| 0.000	| 0.000	| 531	|
| NT "''"	| 0.098	| 0.031	| 0.047	| 512	|
| NT "SBAR"	| 1.000	| 0.000	| 0.000	| 1509	|
| NT "WHNP-2"	| 1.000	| 0.000	| 0.000	| 130	|
| NT "MD"	| 1.000	| 0.000	| 0.000	| 584	|
| NT "WHNP-3"	| 1.000	| 0.000	| 0.000	| 43	|
| NT "PRP$"	| 1.000	| 0.000	| 0.000	| 509	|
| NT "PP-LOC-CLR"	| 1.000	| 0.000	| 0.000	| 62	|
| NT ":"	| 0.559	| 0.059	| 0.106	| 324	|
| NT "ADVP-MNR"	| 1.000	| 0.000	| 0.000	| 155	|
| NT "$"	| 1.000	| 0.000	| 0.000	| 375	|
| NT "WHNP-1"	| 1.000	| 0.000	| 0.000	| 308	|
| NT "WDT"	| 1.000	| 0.000	| 0.000	| 280	|
| NT "QP"	| 1.000	| 0.000	| 0.000	| 490	|
| NT "PP-DIR"	| 1.000	| 0.000	| 0.000	| 217	|
| NT "JJS"	| 1.000	| 0.000	| 0.000	| 127	|
| NT "PP-TMP"	| 1.000	| 0.000	| 0.000	| 551	|
| NT "VBG"	| 1.000	| 0.000	| 0.000	| 817	|
| NT "WHNP-4"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "NP-SBJ-2"	| 1.000	| 0.000	| 0.000	| 243	|
| NT "S-ADV"	| 1.000	| 0.000	| 0.000	| 147	|
| NT "S-TPC-1"	| 1.000	| 0.000	| 0.000	| 148	|
| NT "NP-LGS"	| 1.000	| 0.000	| 0.000	| 163	|
| NT "PRT"	| 1.000	| 0.000	| 0.000	| 159	|
| NT "RP"	| 1.000	| 0.000	| 0.000	| 182	|
| NT "ADVP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "PP-LOC-3"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "ADVP-TMP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-TMP=4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NX"	| 1.000	| 0.000	| 0.000	| 115	|
| NT "SINV"	| 1.000	| 0.000	| 0.000	| 157	|
| NT "PP-PRD-TPC-1"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-PRD"	| 1.000	| 0.000	| 0.000	| 32	|
| NT "SBAR-NOM"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "WP"	| 1.000	| 0.000	| 0.000	| 111	|
| NT "ADVP-LOC"	| 1.000	| 0.000	| 0.000	| 44	|
| NT "WHADJP-1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "WRB"	| 1.000	| 0.000	| 0.000	| 133	|
| NT "NP-BNF"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADJP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PRN"	| 1.000	| 0.000	| 0.000	| 142	|
| NT "S-NOM"	| 1.000	| 0.000	| 0.000	| 148	|
| NT "S-NOM-SBJ"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBAR-PRP"	| 1.000	| 0.000	| 0.000	| 57	|
| NT "SBAR-ADV"	| 1.000	| 0.000	| 0.000	| 155	|
| NT "FRAG-TPC-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "FRAG"	| 1.000	| 0.000	| 0.000	| 49	|
| NT "PP-DTV"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "SBAR-TMP"	| 1.000	| 0.000	| 0.000	| 131	|
| NT "WHADVP-2"	| 1.000	| 0.000	| 0.000	| 56	|
| NT "S-TPC-2"	| 1.000	| 0.000	| 0.000	| 65	|
| NT "NP-1"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "NP-MNR"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP-PRD-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-4"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "NP-PRD=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP=4"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S-1"	| 1.000	| 0.000	| 0.000	| 40	|
| NT "SBAR-PRD"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-3"	| 1.000	| 0.000	| 0.000	| 84	|
| NT "PDT"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "WHNP-1601"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 61	|
| NT "WHNP-1602"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S-3"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "SBARQ"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "WHNP"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "NP-3"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "NP-SBJ-4"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "NP-SBJ-5"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "NP-EXT"	| 1.000	| 0.000	| 0.000	| 78	|
| NT "ADVP-PRD"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "NP-2"	| 1.000	| 0.000	| 0.000	| 19	|
| NT "NP-SBJ=1"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP=2"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "WHADVP-1"	| 1.000	| 0.000	| 0.000	| 69	|
| NT "S-CLR"	| 1.000	| 0.000	| 0.000	| 41	|
| NT "WHPP-2"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "PP-PRP"	| 1.000	| 0.000	| 0.000	| 85	|
| NT "NP-ADV"	| 1.000	| 0.000	| 0.000	| 112	|
| NT "NAC-LOC"	| 1.000	| 0.000	| 0.000	| 16	|
| NT "ADVP-DIR"	| 1.000	| 0.000	| 0.000	| 77	|
| NT "PP-EXT"	| 1.000	| 0.000	| 0.000	| 25	|
| NT "PP-MNR"	| 1.000	| 0.000	| 0.000	| 37	|
| NT "NP-TPC-3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "-LRB-"	| 1.000	| 0.000	| 0.000	| 72	|
| NT "-RRB-"	| 1.000	| 0.000	| 0.000	| 72	|
| NT "WP$"	| 1.000	| 0.000	| 0.000	| 21	|
| NT "WHADVP-3"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "INTJ"	| 1.000	| 0.000	| 0.000	| 11	|
| NT "UH"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "NAC"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "NP-CLR"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "SBAR-3"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "EX"	| 1.000	| 0.000	| 0.000	| 57	|
| NT "S-2"	| 1.000	| 0.000	| 0.000	| 23	|
| NT "UCP"	| 1.000	| 0.000	| 0.000	| 24	|
| NT "S-PRP"	| 1.000	| 0.000	| 0.000	| 60	|
| NT "WHADJP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "WHADVP"	| 1.000	| 0.000	| 0.000	| 12	|
| NT "PP-1"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "S-CLF"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "FRAG-TPC-2"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "SQ"	| 1.000	| 0.000	| 0.000	| 18	|
| NT "ADVP-CLR"	| 1.000	| 0.000	| 0.000	| 23	|
