Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.734	| 0.806	| 0.768	| 5234	|
| NT "NP-SBJ"	| 0.604	| 0.898	| 0.722	| 4557	|
| NT "NP-SBJ-1"	| 1.000	| 0.000	| 0.000	| 687	|
| NT "NP"	| 0.583	| 0.844	| 0.690	| 13918	|
| NT "NNP"	| 0.443	| 0.422	| 0.432	| 5918	|
| NT "DT"	| 0.401	| 0.380	| 0.390	| 4816	|
| ERROR	| 0.000	| 0.000	| 0.000	| 0	|
| SHIFT	| 1.000	| 0.000	| 0.000	| 60548	|
| NT "NN"	| 0.436	| 0.658	| 0.524	| 7568	|
| NT "JJ"	| 0.519	| 0.145	| 0.227	| 3707	|
| REDUCE	| 0.804	| 0.926	| 0.860	| 47333	|
| NT ","	| 0.362	| 0.398	| 0.379	| 3062	|
| NT "PP"	| 0.495	| 0.487	| 0.491	| 3069	|
| NT "IN"	| 0.839	| 0.900	| 0.869	| 5854	|
| NT "NNS"	| 0.350	| 0.138	| 0.198	| 3507	|
| NT "VP"	| 0.776	| 0.815	| 0.795	| 8754	|
| NT "VBZ"	| 0.247	| 0.845	| 0.382	| 1233	|
| NT "ADJP-PRD"	| 0.556	| 0.011	| 0.022	| 439	|
| NT "RB"	| 0.623	| 0.565	| 0.593	| 2053	|
| NT "-NONE-"	| 0.758	| 0.783	| 0.771	| 3864	|
| NT "TO"	| 0.607	| 0.601	| 0.604	| 1240	|
| NT "VB"	| 0.948	| 0.820	| 0.880	| 1580	|
| NT "ADVP"	| 0.000	| 0.000	| 0.000	| 587	|
| NT "RBR"	| 1.000	| 0.000	| 0.000	| 112	|
| NT "."	| 0.625	| 0.107	| 0.183	| 2363	|
| NT "POS"	| 1.000	| 0.004	| 0.007	| 549	|
| NT "NP-TMP"	| 1.000	| 0.000	| 0.000	| 272	|
| NT "VBN"	| 0.582	| 0.744	| 0.653	| 1099	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-LOC"	| 1.000	| 0.000	| 0.000	| 817	|
| NT "CC"	| 0.138	| 0.047	| 0.070	| 1373	|
| NT "PRP"	| 0.252	| 0.580	| 0.351	| 1055	|
| NT "CD"	| 0.809	| 0.430	| 0.561	| 1924	|
| NT "ADVP-TMP"	| 1.000	| 0.000	| 0.000	| 432	|
| NT "VBD"	| 0.345	| 0.027	| 0.050	| 1836	|
| NT "NP-PRD"	| 0.250	| 0.007	| 0.015	| 401	|
| NT "VBP"	| 0.349	| 0.019	| 0.036	| 802	|
| NT "ADJP"	| 1.000	| 0.000	| 0.000	| 449	|
| NT "JJR"	| 1.000	| 0.000	| 0.000	| 198	|
