Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "S"	| 0.865	| 0.805	| 0.834	| 5234	|
| NT "NP-SBJ"	| 0.616	| 0.958	| 0.750	| 4557	|
| NT "NP-SBJ-1"	| 1.000	| 0.000	| 0.000	| 687	|
| SHIFT	| 0.833	| 0.885	| 0.858	| 60548	|
| NT "NP"	| 0.716	| 0.653	| 0.683	| 13918	|
| REDUCE	| 0.870	| 0.916	| 0.892	| 47333	|
| NT "PP"	| 0.452	| 0.588	| 0.511	| 3069	|
| NT "VP"	| 0.801	| 0.899	| 0.847	| 8754	|
| NT "NP-PRD"	| 0.251	| 0.207	| 0.227	| 401	|
| NT "ADJP-PRD"	| 0.315	| 0.103	| 0.155	| 439	|
| NT "ADVP"	| 1.000	| 0.000	| 0.000	| 587	|
| NT "NP-TMP"	| 1.000	| 0.000	| 0.000	| 272	|
| NT "PP-CLR"	| 0.150	| 0.198	| 0.171	| 499	|
| NT "PP-PUT"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "PP-LOC"	| 1.000	| 0.000	| 0.000	| 817	|
| NT "ADVP-TMP"	| 0.125	| 0.002	| 0.005	| 432	|
| NT "ADJP"	| 1.000	| 0.000	| 0.000	| 449	|
| NT "SBAR"	| 0.830	| 0.247	| 0.380	| 1509	|
| NT "WHNP-1"	| 0.462	| 0.831	| 0.594	| 308	|
| NT "WHNP-2"	| 1.000	| 0.000	| 0.000	| 130	|
| NT "WHNP-3"	| 1.000	| 0.000	| 0.000	| 43	|
| NT "PP-LOC-CLR"	| 1.000	| 0.000	| 0.000	| 62	|
| NT "ADVP-MNR"	| 1.000	| 0.000	| 0.000	| 155	|
| NT "QP"	| 0.265	| 0.018	| 0.034	| 490	|
| NT "PP-DIR"	| 1.000	| 0.000	| 0.000	| 217	|
| NT "PP-TMP"	| 0.205	| 0.015	| 0.027	| 551	|
| NT "WHNP-4"	| 1.000	| 0.000	| 0.000	| 15	|
| NT "NP-SBJ-2"	| 1.000	| 0.000	| 0.000	| 243	|
| NT "S-ADV"	| 1.000	| 0.000	| 0.000	| 147	|
| NT "S-TPC-1"	| 0.600	| 0.365	| 0.454	| 148	|
| NT "NP-LGS"	| 0.756	| 0.896	| 0.820	| 163	|
| NT "PRT"	| 1.000	| 0.000	| 0.000	| 159	|
| NT "ADVP-LOC-PRD"	| 1.000	| 0.000	| 0.000	| 13	|
| NT "PP-LOC-3"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "ADVP-TMP-4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-LOC=3"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-TMP=4"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NX"	| 1.000	| 0.000	| 0.000	| 115	|
| NT "SINV"	| 1.000	| 0.000	| 0.000	| 157	|
| NT "PP-PRD-TPC-1"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP-PRD"	| 1.000	| 0.000	| 0.000	| 32	|
